的	白 勹 4
悔	忄 卧人 母
垂	千 艹 二
源	氵 厂 白 小
阁	门 各
沃	氵 夭
幻	幺 5
晨	日 辰
慧	丰 丰 彐 心
蛇	虫 宀 匕
殿	尸 龷 八 殳
莱	贲字腰 未 丷
钢	钅 冂 㐅
毁	臼 工 殳
物	牜 勹 横两撇
裁	十 戈 衣
聪	耳 兑字头 心
躺	身 龸 口
妇	女 彐
蒂	贲字腰 帝字头 巾
疗	疒 了
奏	春字头 天
赫	土 亦字底 土 亦字底
勾	勹 厶
锋	钅 夊 丰
凯	山 己 几
绕	纟 尧字头 兀
齿	齿
恶	1 业 心
潜	氵 夫 夫 日
盗	冫 欠 皿
叶	口 十
召	召
辩	辛旁 讠 辛
尾	尸 毛
沈	氵 冖 见字底
剩	禾框 北字旁 匕 刂
咳	口 亥
费	弓 乔字底 贝
贯	毌 贝
亏	1 丂
幅	巾 同字心 田
肚	月 土
煤	火 甘 木
绪	纟 者
泛	氵 3 之
陵	阝 土 八 夊
撞	扌 立 里
侯	亻 候右角 矢
陷	阝 尔字头 臼
黎	禾 勹 3 全字头 氺
颤	亠 回 旦 页
慰	尸 示 寸 心
吕	口 口
怨	夕 㔾 心
丑	5 里无日
匆	勹 横两撇 4
琴	⺩ ⺩ 亽 5
踏	足旁 水 日
臣	臣
箱	竹头 木 目
霍	雨头 隹
培	土 立 口
寂	宀 上 小 又
荒	贲字腰 亡 荒字底
扫	扌 彐
愤	忄 十 贲字腰 贝
圆	囗 口 贝
诱	讠 禾 乃
仪	亻 4 㐅
倾	亻 比字旁 页
枝	木 十 又
傅	亻 甫 寸
宾	宀 丘无横 共字底
操	扌 口 吅 木
滑	氵 骨
祥	礻 羊
扰	扌 尤
贝	贝
慌	忄 贲字腰 亡 荒字底
赤	土 亦字底
莉	贲字腰 禾 刂
宿	宀 亻 百
抚	扌 无
澳	氵 向字框 米 大
愁	禾 火 心
哀	衣框 口
俗	亻 谷
睁	目 尔字头 争字底
零	雨头 令
衡	行 鱼 人
迎	卬字旁 卩 辶
葛	贲字腰 日 勹 亾
禽	全字头 亠 㐅 凵 禸
僧	亻 曾字头 日
椅	木 大 可
沿	氵 几 口
室	宀 至
递	丷 弟省 辶
恭	龷 八 恭字底
屈	尸 屮 凵
姆	女 母
浮	氵 爫 子
饮	饣 欠
搭	扌 贲字腰 合
扣	扌 口
刺	朿 刂
丫	丷 2
妮	女 尸 匕
敏	卧人 母 攵
挡	扌 尚字头 彐
猜	犭 龶 青字底
猿	犭 土 口 衣省
库	广 车
池	氵 也
斜	全字头 余字底 斗
邮	由 阝
锦	钅 白 巾
埃	土 厶 矢
跌	足旁 3 夫
腐	广 亻 寸 内 人
帐	巾 长
粉	米 八 刀
锁	钅 尚字头 贝
卧	臣 卜
喂	口 田 1 畏字底
汽	氵 气
雾	雨头 夊 力
免	免五 见字底
晃	日 尚字头 兀
妥	爫 女
霜	雨头 木 目
废	广 发无又 又
耶	耳 阝
董	贲字腰 千 里
爬	爪 巴
租	禾 且
冯	冫 马
泥	氵 尸 匕
床	广 木
酸	酉 厶 八 夊
筑	竹头 工 几 4
侍	亻 寺
郁	左字框 青字底 阝
寺	寺
订	讠 丁
腾	月 龹 马
贼	贝 戈 左字框
泪	氵 目
涌	氵 龴 甬字底
揭	扌 日 勹 亾
菲	贲字腰 非
埋	土 里
穴	穴
耐	而 寸
赌	贝 者
唤	口 尔字头 见二 大
障	阝 音 十
询	讠 勹 日
辑	车旁 口 耳
直	直
履	尸 彳 卧人 日 夊
挤	扌 文 乔字底
颇	皮 页
霞	雨头 叚字旁无二 二 叚右角 又
怔	忄 正
忌	己 心
瑟	⺩ ⺩ 心 3
详	讠 羊
眸	目 厶 牛
津	氵 聿
隆	阝 夊 1 生
惹	贲字腰 右 心
霸	雨头 革 月
羽	羽
奴	女 又
桃	木 见字底 冫 飞无折
劝	又 力
荐	贲字腰 在字框 子
允	厶 见字底
皆	比 白
帖	巾 占
驾	力 口 马
兰	丷 三
宏	宀 左字框 厶
缠	纟 广 里
祸	礻 口 内
牵	大 冖 牛
牲	牜 生
惜	忄 龷 日
丧	土 丷 畏字底
恼	忄 亠 㐅 凵
龄	齿 令
劫	土 厶 力
刑	开 刂
岗	山 冂 㐅
漠	氵 莫
跨	足旁 大 1 丂
贺	力 口 贝
俱	亻 具字头 八
械	木 戈 廾
湿	氵 日 业
墨	黑 土
荷	贲字腰 亻 可
弯	变字头 弓
赢	吂 月凡 贝
碗	石 宀 夕 㔾
抹	扌 末
悦	忄 兑字头 见字底
恰	忄 合
辉	尚字头 兀 冖 车
捉	扌 足
餐	歺 又 食
衫	衤 彡
返	反字框 又 辶
稀	禾 㐅 左字框 巾
乏	3 之
溜	氵 留字头 田
裤	衤 广 车
腹	月 卧人 日 夊
喷	口 十 贲字腰 贝
渡	氵 广 廿 又
挣	扌 尔字头 争字底
猪	犭 者
勤	革 二 力
爽	大框 㐅 㐅 㐅 㐅
扭	扌 5 里无日
舌	舌
辆	车旁 1 内 人
绩	纟 责
宪	宀 告字头 见字底
彭	壴 彡
润	氵 门 ⺩
懒	忄 束 尔字头 贝
聋	龙 耳
饿	饣 手 戈
涉	氵 止旁 步字底
莲	贲字腰 车 辶
币	3 巾
掠	扌 享字头 小
鸣	口 鸟
捕	扌 甫
堪	土 其 5
屁	尸 比
武	1 弋 止旁
邦	寿字头 阝
赋	贝 1 弋 止旁
厉	厂 1 万无横
惑	戈 或字心 心
吼	口 子 5
植	木 直
慈	䒑 幺 幺 心
滴	氵 商字头 古
押	扌 甲
浓	氵 冖 衣省
刷	尸 巾 刂
卢	卢字头 尸
虹	虫 工
铺	钅 甫
萌	贲字腰 日 月
吵	口 少三 3
井	井
译	讠 又 举字底
浩	氵 告字头 口
蛮	变字头 虫
柏	木 白
媒	女 甘 木
寸	寸
玛	⺩ 马
屏	尸 丷 开
涛	氵 寿字头 寸
邀	白 方 攵 辶
肥	月 巴
斑	⺩ 文 ⺩
傻	亻 囱字框 㐅 八 夊
曹	曹字头 日
嫌	女 䒑 聿三 兼无䒑无彐
蜜	宀 心 3 虫
惠	二 虫 心
殊	歹 3 未
坡	土 皮
碧	⺩ 白 石
欠	欠
饰	饣 卧人 巾
敦	享字头 子 攵
悠	修字旁 攵 心
截	十 戈 隹
奸	女 干
抖	扌 斗
玲	⺩ 令
艰	又 艮
宅	宀 3 七
侦	亻 卢字头 贝
梯	木 丷 弟省
帕	巾 白
痴	疒 矢 口
胧	月 龙
谅	讠 享字头 小
桑	又 双 木
脏	月 广 土
劈	尸 口 辛 刀
鹰	广 亻 隹 鸟
寄	宀 大 可
缩	纟 宀 亻 百
吊	口 巾
昌	日 日
罚	罒 讠 刂
尘	小 土
谦	讠 䒑 聿三 兼无䒑无彐
柜	木 匸 叚右角
斤	斤
吞	天 口
呵	口 可
棋	木 其
幼	幺 力
轰	车 双
粹	米 亠 人 人 十
狱	犭 讠 犬
辨	辛旁 刀中 辛
脆	月 尔字头 厂 㔾
晕	日 冖 车
拖	扌 卧人 也
炎	火 火
帅	师字旁 巾
贤	临字旁 又 贝
拦	扌 丷 三
穆	禾 白 小 彡
疆	弓 土 1 田 1 田 1
誉	学字头 共字底 訁
鞭	革 亻 更
肤	月 夫
趋	走 尔字头 彐
痕	疒 艮
钻	钅 占
炼	火 东二 拣字边无七
吆	口 幺
契	丰 刀 大
豪	亮字头 豕
滋	氵 䒑 幺 幺
勉	免五 见字底 力
毅	立 豕省 殳
敲	高 攴
矮	矢 禾 女
弗	弓 乔字底
寇	宀 二 见字底 攴
崖	山 厂 圭
辞	舌 辛
寿	寿字头 寸
汪	氵 ⺩
辰	辰
践	足旁 1 戈
虫	虫
炉	火 户
煞	尔字头 彐 攵 灬
躯	身 匸 㐅
牢	宀 牛
晶	日 日 日
舟	舟
牧	牜 攵
糟	米 曹字头 日
俊	亻 厶 八 夊
蓬	贲字腰 夊 丰 辶
刹	㐅 朩 刂
肿	月 中
乳	爫 子 5
迈	1 万无横 辶
歉	䒑 聿三 兼无䒑无彐 欠
闯	门 马
镖	钅 覀 示
奋	大 田
遵	酋 寸 辶
笨	竹头 木 1
污	氵 1 丂
摔	扌 亠 幺 冫 飞无折 十
署	罒 者
狮	犭 师字旁 1 巾
盯	目 丁
糊	米 古 月
寨	宀 寒字腰 八 朩
爵	爫 罒 即字旁 寸
哎	口 贲字腰 㐅
庙	广 由
疯	疒 风省 㐅
坛	土 云
仗	亻 1 乂
届	尸 由
盾	反字框 十 目
帽	巾 冒字头 目
贡	工 贝
莎	落字框 少三 3
胆	月 旦
吾	五 口
逆	䒑 䶹 辶
鉴	临字旁 临右角 金
粒	米 立
拨	扌 发无又 又
卓	卢字头 日 十
吨	口 1 屯无横
袁	土 口 衣省
桂	木 圭
羞	差字头 5 里无日
媚	女 眉字框 目
盆	八 刀 皿
乔	夭 乔字底
菩	贲字腰 立 口
翔	差字头 羽
矛	矛
脾	月 卑六 十
罩	罒 卢字头 日 十
柄	木 1 内
燃	火 然左角 犬 灬
衰	衣框 见二 二
览	临字旁 临右角 见
邻	令 阝
咖	口 力 口
泡	氵 勹 巳
储	亻 讠 者
昂	日 卬字旁 卩
怖	忄 左字框 巾
铃	钅 令
踢	足旁 日 勹 横两撇
哨	口 尚字头 青字底
秒	禾 少三 3
链	钅 车 辶
浅	氵 1 戈
娶	耳 又 女
姊	女 姊字边
岩	山 石
割	宀 丰 口 刂
抛	扌 九 力
覆	覀 彳 卧人 日 夊
丛	人 人 1
耀	尚字头 兀 羽 隹
炮	火 勹 巳
秩	禾 3 夫
隔	阝 鬲
棵	木 田 木
阔	门 氵 舌
薪	贲字腰 立 朩 斤
嘶	口 其 斤
眨	目 3 之
乙	6
址	土 止旁
筹	竹头 寿字头 寸
晒	日 西
饱	饣 勹 巳
铜	钅 冂 同字心
薛	贲字腰 3 㠯 辛
锐	钅 兑字头 见字底
鼠	鼠
纠	纟 丩
塘	土 广 肀 口
糕	米 美字头 灬
孝	耂 子
匪	匸 非
泄	氵 廿 5
驶	马 口 㐅
倏	修字旁 夊 犬
廷	壬 廴
碍	石 旦 寸
姬	女 颐字旁
驰	马 也
催	亻 山 隹
贪	亽 5 贝
贾	覀 贝
颊	夫 丷 页
嘻	口 壴 口
傲	亻 龶 万无横 攵
遂	䒑 豕省 辶
歇	日 勹 亾 欠
档	木 尚字头 彐
刃	刀 4
捷	扌 妻字头 龰
耸	人 人 耳
瓜	瓜
颈	经右角 工 页
轩	车旁 干
愉	忄 亼 青字底 刂
赴	走 卜
芙	贲字腰 夫
戈	戈
壳	壳字头 几
洒	氵 西
狄	犭 火
巾	巾
挖	扌 穴 6
析	木 斤
忖	忄 寸
嗓	口 又 双 木
麽	广 林 3 厶
纤	纟 千
卿	卬字旁 3 即字旁 卩
遥	爫 缶 辶
疏	疏字旁 充字头 荒字底
搬	扌 舟 殳
踪	足旁 宀 示
矣	厶 矢
慎	忄 直 八
拓	扌 石
锅	钅 口 内
披	扌 皮
吴	口 天
逢	夊 丰 辶
弥	弓 尔字头 小
骇	马 亥
哩	口 里
剪	䒑 青字底 刂 刀
盒	合 皿
戚	戊 上 小
棉	木 白 巾
淘	氵 勹 缶
肝	月 干
晴	日 龶 青字底
遣	贵字头 㠯 辶
录	录字头 氺
姚	女 见字底 冫 飞无折
歼	歹 千
蝶	虫 廿 5 木
摘	扌 商字头 古
艇	舟 壬 廴
妨	女 方
涵	氵 5 氺 凵
撑	扌 龸 口 手
柱	木 4 王
刊	干 刂
凤	风省 又
捏	扌 圼
县	且 厶
陛	阝 比 土
纱	纟 少三 3
捧	扌 春字头 举字底
乾	十 日 十 卧人 6
夸	大 1 丂
陀	阝 宀 匕
肠	月 5 横两撇
胁	月 力 横两点
胞	月 勹 巳
拆	扌 斤 4
腕	月 宀 夕 㔾
挨	扌 厶 矢
崔	山 隹
潘	氵 釆 田
谱	讠 䒑 业 日
塌	土 日 羽
盼	目 八 刀
瞬	目 爱字头 夕 㐄
嘱	口 尸 3 口 禺字底
厘	厂 里
愣	忄 罒 方
逗	豆 辶
叙	全字头 余字底 又
缝	纟 夊 丰 辶
弓	弓
亭	亮字头 丁
缴	纟 白 方 攵
斥	斤 4
卜	卜
甫	甫
筋	竹头 月 力
呜	口 乌
俞	亼 青字底 刂
窟	穴 尸 屮 凵
脖	月 索字头 子
睹	目 者
殷	反字框 彐 5 殳
苗	贲字腰 田
饶	饣 尧字头 兀
凑	冫 春字头 天
搜	扌 臼 2 又
嫂	女 臼 2 又
牺	牜 西
婉	女 宀 夕 㔾
纹	纟 文
染	氵 九 木
畏	田 1 畏字底
扇	户 羽
岳	丘无横 1 山
郡	聿三 3 口 阝
暂	车旁 斤 日
欺	其 欠
魏	禾 女 鬼无厶 厶
兔	免五 见字底 4
廉	广 䒑 聿三 兼无䒑无彐
噢	口 向字框 米 大
诞	讠 3 延字心无撇 廴
僵	亻 1 田 1 田 1
俺	亻 大 电
迪	由 辶
璃	⺩ 亠 㐅 凵 禸
裙	衤 聿三 3 口
柯	木 可
笼	竹头 龙
偿	亻 龸 云
疲	疒 皮
湘	氵 木 目
咽	口 囗 大
猎	犭 龷 日
宛	宀 夕 㔾
屠	尸 者
啡	口 非
串	中 中
赔	贝 立 口
泊	氵 白
耻	耳 止旁
喉	口 亻 候右角 矢
扮	扌 八 刀
矩	矢 匸 叚右角
溪	氵 爫 幺 大
迁	千 辶
喘	口 山 而
琼	⺩ 享字头 小
阅	门 兑字头 见字底
渴	氵 日 勹 亾
芝	贲字腰 之
癫	疒 直 八 页
兹	䒑 幺 幺
绳	纟 口 电
祈	礻 斤
赚	贝 䒑 聿三 兼无䒑无彐
矿	石 广
宴	宀 日 女
液	氵 亠 亻 夜下角
豫	予 象
羡	美字头 冫 欠
叉	又 4
焰	火 尔字头 臼
庞	广 龙
携	扌 隹 乃
逻	罒 夕 辶
削	尚字头 青字底 刂
魁	鬼无厶 厶 斗
杖	木 1 乂
瑶	⺩ 爫 缶
墓	莫 土
翰	十 日 十 全字头 羽
恍	忄 尚字头 兀
姿	冫 欠 女
嘉	壴 力 口
拟	扌 以字旁 人
畅	申 5 横两撇
卑	卑六 十
纽	纟 5 里无日
舆	臼裂 车 共字底
谨	讠 革 二
恒	忄 1 旦
誓	扌 斤 訁
默	黑 犬
氛	气 八 刀
鸿	氵 工 鸟
丐	1 卢字头 5
甩	用 5
裸	衤 田 木
辽	了 辶
亩	亠 田
驱	马 匸 㐅
尉	尸 示 寸
岭	山 令
逝	扌 斤 辶
吁	口 1 于无横
朕	月 丷 天
伐	亻 戈
伪	亻 4 为字框 4
吩	口 八 刀
窝	穴 口 内
遮	广 廿 灬 辶
膜	月 莫
淫	氵 爫 壬
挽	扌 免五 见字底
怜	忄 令
靖	立 龶 青字底
谊	讠 宀 且
役	彳 殳
讶	讠 牙
眠	目 民
骤	马 耳 又 乑
拐	扌 口 力
棍	木 日 比
镜	钅 音 见字底
籍	竹头 二 木 龷 日
胎	月 厶 口
渔	氵 鱼
辱	辰 寸
爪	爪
嚷	口 衣框 吅 寒字腰
堵	土 者
哇	口 圭
赐	贝 日 勹 横两撇
蠢	春字头 日 虫 虫
谎	讠 贲字腰 亡 荒字底
鹅	手 戈 鸟
圳	土 川
扔	扌 乃
妄	亡 女
璇	⺩ 方 卧人 疋
叮	口 丁
谭	讠 覀 日 十
晰	日 木 斤
捐	扌 口 青字底
兆	见字底 冫 飞无折
饼	饣 丷 开
播	扌 釆 田
盲	亡 目
姻	女 囗 大
魄	白 鬼无厶 厶
肖	尚字头 青字底
溃	氵 贵字头 贝
聂	耳 双
晋	1 业 日
喃	口 十 冂 南字心
鹏	月 月 鸟
挫	扌 人 人 土
绘	纟 全字头 云
沾	氵 占
骄	马 夭 乔字底
柴	止旁 匕 木
瞎	目 宀 丰 口
尿	尸 水
歪	不 正
淋	氵 林
旨	匕 日
叛	丷 夫三 反字框 又
稿	禾 高
腊	月 龷 日
聘	耳 由 丂
蔡	贲字腰 祭字头 示
轨	车旁 九
脉	月 4 永无点
厦	厂 夏字头 夊
刮	舌 刂
蓉	贲字腰 宀 谷
蓦	莫 马
昭	日 召
畜	亠 幺 田
廊	广 4 即字旁 阝
茫	落字框 亡
烤	火 耂 丂
萨	贲字腰 阝 立无横 厂
芬	贲字腰 八 刀
趁	走 全字头 彡
诡	讠 尔字头 厂 㔾
衙	行 五 口
妃	女 己
翁	八 厶 羽
茎	贲字腰 经右角 工
辜	古 辛
哑	口 1 业
嫩	女 束 攵
趟	走 龸 口
添	氵 天 恭字底
拾	扌 合
填	土 直 八
勋	口 贝 力
囊	囊字头 吅 寒字腰 衣省
黛	亻 弋 黑
仓	全字头 㔾
弊	㡀 攵 廾
姜	美字头 女
枯	木 古
冤	冖 免五 见字底 4
赠	贝 曾字头 日
峡	山 夫 丷
栏	木 丷 三
钦	钅 欠
泣	氵 立
冥	冖 日 六
冻	冫 东二 小
娘	女 4 艮
搏	扌 甫 寸
灌	氵 贲字腰 吅 隹
萍	落字框 干 丷
搂	扌 米 女
抄	扌 少三 3
盈	乃 又 皿
券	龹 刀
崩	山 月 月
丸	九 4
瑰	⺩ 鬼无厶 厶
陡	阝 走
乖	千 北字旁 匕
慨	忄 即字旁 旡
愕	忄 吅 1 丂
衷	衣框 中
劣	少三 3 力
玫	⺩ 攵
昆	日 比
焉	正 1 5 灬
循	彳 反字框 十 目
钩	钅 勹 厶
葬	贲字腰 歹 匕 廾
狭	犭 夫 丷
咒	吅 几
泼	氵 发无又 又
珊	⺩ 册
雌	止旁 比字旁 隹
芒	贲字腰 亡
鹿	鹿
拱	扌 龷 八
旺	日 ⺩
婢	女 卑六 十
卵	卵
骚	马 又 4 虫
耍	而 女
泳	氵 4 永无点
浙	氵 扌 斤
宠	宀 龙
绑	纟 寿字头 阝
喔	口 尸 至
俯	亻 广 亻 寸
妒	女 户
凄	冫 妻字头 女
朴	木 卜
熬	龶 万无横 攵 灬
虐	虍 虐字底
舅	臼 田 力
臭	自 犬
叱	口 化字边
坠	阝 人 土
逊	子 小 辶
嘲	口 十 日 十 月
剥	录字头 氺 刂
窜	穴 中 中
勘	其 5 力
棒	木 春字头 举字底
哄	口 龷 八
胃	田 青字底
惶	忄 白 ⺩
寞	宀 莫
韵	音 勹 冫
枕	木 冖 见字底
猴	犭 亻 候右角 矢
烛	火 虫
衬	衤 寸
帘	穴 巾
溶	氵 宀 谷
呐	口 内
姨	女 大框 弓
砸	石 匸 巾
侄	亻 至
豹	豸 勹 4
敖	龶 万无横 攵
澡	氵 口 吅 木
骆	马 各
咕	口 古
躁	足旁 口 吅 木
塑	䒑 䶹 月 土
桶	木 龴 甬字底
巩	工 几 4
顽	二 见字底 页
啪	口 扌 白
僚	亻 大 丷 日 小
阎	门 尔字头 臼
倘	亻 龸 口
儒	亻 雨头 而
倡	亻 日 日
罕	冖 八 干
寡	宀 寡字腰 八 刀
媳	女 自 心
葡	贲字腰 勹 甫
坎	土 欠
账	贝 长
钓	钅 勹 4
杆	木 干
叠	又 双 冖 且
钉	钅 丁
阐	门 兽字头 十
绣	纟 禾 乃
磕	石 土 厶 皿
憾	忄 戊 同字心 心
灿	火 山
陌	阝 百
勿	勹 横两撇
蝎	虫 日 勹 亾
袍	衤 勹 巳
侣	亻 口 口
攀	林 㐅 㐅 大 手
宰	宀 辛
熄	火 自 心
诧	讠 宀 3 七
耕	二 木 井
辟	尸 口 辛
裹	衣框 田 木
姥	女 耂 匕
祭	祭字头 示
蜂	虫 夊 丰
佐	亻 左字框 工
恕	女 口 心
娱	女 口 天
纲	纟 冂 㐅
茅	贲字腰 矛
框	木 匸 ⺩
巫	工 人 人
倦	亻 龹 㔾
撕	扌 其 斤
惧	忄 具字头 八
裴	非 衣
掏	扌 勹 缶
琳	⺩ 林
贱	贝 1 戈
兮	八 丂
泽	氵 又 举字底
娜	女 5 夫三 阝
揉	扌 矛 木
邵	召 阝
辣	辛旁 束
疫	疒 殳
摊	扌 又 隹
牡	牜 土
讽	讠 风省 㐅
桓	木 1 旦
鼎	目 鼎左角 鼎右角
桐	木 冂 同字心
评	讠 干 丷
裕	衤 谷
咋	口 乍
屡	尸 米 女
荆	贲字腰 开 刂
寓	宀 田 禺字底
瓷	冫 欠 瓦
筒	竹头 冂 同字心
郝	土 亦字底 阝
咦	口 大框 弓
栽	十 戈 木
昔	龷 日
魅	鬼无厶 厶 未
杏	木 口
漆	氵 木 全字头 氺
厢	厂 木 目
摹	莫 手
酷	酉 告字头 口
帆	巾 几 4
浦	氵 甫
樱	木 贝 贝 女
芷	贲字腰 止旁
脂	月 匕 日
蹲	足旁 酋 寸
榴	木 留字头 田
胶	月 六 㐅
卸	卸字旁 卩
浆	丬 夕 水
掀	扌 斤 欠
凛	冫 亠 回 示
雀	小 隹
踩	足旁 采
朽	木 丂
堤	土 日 定字底
苹	贲字腰 干 丷
饲	饣 5 同字心
肃	肀 乔字底 八
巢	巛 田 木
弦	弓 亠 幺
婴	贝 贝 女
藤	贲字腰 月 龹 氺
舱	舟 全字头 㔾
惩	彳 正 心
垃	土 立
榜	木 帝字头 方
枫	木 风省 㐅
炒	火 少三 3
淹	氵 大 电
笛	竹头 由
圾	土 及
颠	直 八 页
怯	忄 土 厶
挪	扌 5 夫三 阝
乍	乍
咔	口 上 卜
砖	石 二 5 4
竭	立 日 勹 亾
夕	夕
旱	日 干
翘	尧字头 兀 羽
霄	雨头 尚字头 青字底
熙	颐字旁 巳 灬
尴	尢 临字旁 临右角 皿
搓	扌 差字头 工
芦	贲字腰 户
乞	卧人 6
於	方 全字头 冬字底
龟	尔字头 龟字底
倩	亻 龶 青字底
戳	羽 隹 戈
蒲	落字框 甫
渠	氵 匸 叚右角 木
躬	身 弓
唔	口 五 口
晌	日 向字框 口
窃	穴 七 刀
渊	氵 乔字底 米
辅	车旁 甫
萄	贲字腰 勹 缶
暑	日 者
芳	贲字腰 方
滥	氵 临字旁 临右角 皿
婷	女 亮字头 丁
旬	勹 日
棠	龸 口 木
犬	犬
竖	临字旁 又 立
翅	十 又 羽
滩	氵 又 隹
瑜	⺩ 亼 青字底 刂
菱	贲字腰 土 八 夊
麟	鹿旁 米 夕 㐄
浴	氵 谷
徽	微字框 糸
澄	氵 癶 豆
盐	土 卜 皿
驴	马 户
屑	尸 尚字头 青字底
扁	户 扁字心
铭	钅 夕 口
碑	石 卑六 十
咧	口 歹 刂
驼	马 宀 匕
噗	口 业 差字头 4
淑	氵 上 小 又
痒	疒 羊
捆	扌 囗 木
擅	扌 亠 回 旦
腻	月 弋 二 贝
摧	扌 山 隹
奢	大 者
砰	石 干 丷
锡	钅 日 勹 横两撇
孕	乃 子
腥	月 日 生
凰	风省 白 ⺩
棺	木 宀 㠯
褐	衤 日 勹 亾
阮	阝 二 见字底
擒	扌 全字头 亠 㐅 凵 禸
蔑	贲字腰 罒 戊 4
坟	土 文
硕	石 页
嗡	口 八 厶 羽
叟	臼 2 又
狐	犭 瓜
桩	木 广 土
苟	贲字腰 句
匈	勹 㐅 凵
肺	月 丙三 2
菌	贲字腰 囗 禾
袖	衤 由
梳	木 充字头 荒字底
尹	聿三 3
株	木 3 未
丘	丘无横 1
咯	口 各
厮	厂 其 斤
盏	1 戈 皿
嬷	女 广 林 3 厶
肆	镸 聿
蹄	足旁 帝字头 巾
瞒	目 贲字腰 1 内 人
剂	文 乔字底 刂
膀	月 帝字头 方
峻	山 厶 八 夊
莹	荧字头 玉
篷	竹头 夊 丰 辶
猩	犭 日 生
夷	大框 弓
哗	口 亻 化字边 十
饥	饣 几
钥	钅 月
瞄	目 贲字腰 田
俏	亻 尚字头 青字底
匙	日 定字底 匕
仑	全字头 匕
谒	讠 日 勹 亾
嫉	女 疒 矢
坤	土 申
黯	黑 音
函	5 氺 凵
贞	卢字头 贝
敛	亼 应字心 攵
诈	讠 乍
郊	六 㐅 阝
霎	雨头 立 女
撇	扌 㡀 攵
坊	土 方
蟹	角 刀 牛 虫
恳	艮 心
斐	非 文
胀	月 长
脊	冫 飞无折 人 青字底
侮	亻 卧人 母
棚	木 月 月
惕	忄 日 勹 横两撇
庸	广 肀 用
彦	立无横 厂 彡
拘	扌 句
贩	贝 反字框 又
鄙	口 十 回 阝
艘	舟 臼 2 又
娟	女 口 青字底
溢	氵 䒑 八 皿
栋	木 东二 小
凉	冫 享字头 小
霉	雨头 卧人 母
敞	龸 口 攵
碟	石 廿 5 木
掘	扌 尸 屮 凵
厨	厂 豆 寸
哉	十 戈 口
嗔	口 直 八
藉	贲字腰 二 木 龷 日
肢	月 十 又
暇	日 叚字旁无二 二 叚右角 又
缔	纟 帝字头 巾
兜	白 卬字旁 叚右角 见字底
冈	冂 㐅
佑	亻 右
罐	缶 贲字腰 吅 隹
眺	目 见字底 冫 飞无折
嬉	女 壴 口
掷	扌 丷 天 阝
厕	厂 贝 刂
囚	囗 人
妾	立 女
祷	礻 寿字头 寸
孽	贲字腰 3 㠯 辛 子
挟	扌 夫 丷
驳	马 㐅 㐅
兑	兑字头 见字底
茂	贲字腰 戊
坑	土 亠 几
汁	氵 十
芸	贲字腰 云
枉	木 ⺩
煌	火 白 ⺩
谐	讠 比 白
裳	龸 口 衣
斌	文 1 弋 止旁
潭	氵 覀 日 十
颁	八 刀 页
酬	酉 横三点 川
鸦	牙 鸟
潇	氵 贲字腰 肀 乔字底 八
涯	氵 厂 圭
畔	田 丷 举字底
梨	禾 刂 木
陕	阝 夫 丷
秃	禾 几
沐	氵 木
喻	口 亼 青字底 刂
茜	贲字腰 西
嗅	口 自 犬
卦	圭 卜
汝	氵 女
磁	石 䒑 幺 幺
奕	亦 大
寝	宀 丬 彐 冖 又
蔽	贲字腰 㡀 攵
甄	覀 土 瓦
蒸	贲字腰 5 水 1 灬
怡	忄 厶 口
呻	口 申
窥	穴 夫 见
篮	竹头 临字旁 临右角 皿
弘	弓 厶
伞	全字头 丷 十
窄	穴 乍
锻	钅 段字旁 殳
轿	车旁 夭 乔字底
膏	高头 青字底
暮	莫 日
焚	林 火
瞥	㡀 攵 目
溯	氵 䒑 䶹 月
菊	贲字腰 勹 米
绸	纟 周字框 周字心
碌	石 录字头 氺
翩	户 扁字心 羽
诀	讠 候右角 人
襟	衤 林 示
伺	亻 5 同字心
枣	朿 冬字底
尬	尢 全字头 乔字底
谣	讠 爫 缶
懿	壳字头 豆 冫 欠 心
遁	反字框 十 目 辶
壶	壳字头 业
旭	九 日
惭	忄 车旁 斤
岔	八 刀 山
浸	氵 彐 冖 又
梢	木 尚字头 青字底
沦	氵 全字头 匕
垫	扌 九 4 土
黏	禾 全字头 氺 占
煮	者 灬
妓	女 十 又
簇	竹头 方 卧人 矢
逍	尚字头 青字底 辶
噪	口 口 吅 木
蝉	虫 兽字头 十
衍	行 氵
牟	厶 牛
拢	扌 龙
倪	亻 臼 见字底
蹈	足旁 爫 臼
辐	车旁 同字心 田
渗	氵 厶 大 彡
馨	士 眉字框 殳 禾 日
龚	龙 龷 八
襄	衣框 吅 寒字腰
眯	目 米
椎	木 隹
伶	亻 令
斋	文 而
沫	氵 末
狡	犭 六 㐅
嘟	口 者 阝
楞	木 罒 方
稚	禾 隹
卒	亠 人 人 十
栗	覀 木
琪	⺩ 其
脓	月 冖 衣省
喽	口 米 女
炯	火 冂 口
啼	口 帝字头 巾
杠	木 工
敷	甫 方 攵
泻	氵 冖 1 5 1
曦	日 美字头 禾 丂 戈
幢	巾 立 里
灼	火 勹 4
峨	山 手 戈
倚	亻 大 可
晤	日 五 口
诏	讠 召
叩	口 卩
仆	亻 卜
雇	户 隹
迭	3 夫 辶
咙	口 龙
侨	亻 夭 乔字底
樊	林 㐅 㐅 大
鳞	鱼 米 夕 㐄
膊	月 甫 寸
炭	山 左字框 火
琐	⺩ 尚字头 贝
柬	束 丷
