的	白 勹 4
伤	亻 卧人 力
李	木 子
认	讠 人
科	禾 斗
刘	文 刂
式	弋 工
五	五
战	占 戈
结	纟 吉
树	木 又 寸
或	戈 或字心
象	象
即	即字旁 卩
倒	亻 至 刂
乐	乐二 小
领	令 页
调	讠 周字框 周字心
喝	口 日 勹 亾
取	耳 又
资	冫 欠 贝
深	氵 冖 八 木
克	古 见字底
德	彳 十 罒 1 心
虽	口 虫
音	音
石	石
超	走 召
悬	且 厶 心
解	角 刀 牛
术	木 4
紧	临字旁 又 糸
从	人 人
弟	丷 弟省
城	土 戊 5
巡	巛 辶
司	5 同字心
越	走 戉
杀	㐅 朩
切	七 刀
玉	玉
息	自 心
精	米 龶 青字底
台	厶 口
竟	音 见字底
令	令
宗	宀 示
勃	索字头 子 力
确	石 角
势	扌 九 4 力
兼	䒑 聿三 兼无䒑无彐
公	八 厶
士	士
识	讠 口 八
敢	5 耳 攵
突	穴 犬
苦	贲字腰 古
敌	舌 攵
钱	钅 1 戈
谢	讠 身 寸
准	冫 隹
客	宀 各
八	八
周	周字框 周字心
父	八 㐅
刻	亥 刂
惟	忄 隹
技	扌 十 又
根	木 艮
议	讠 4 㐅
首	䒑 自
先	告字头 见字底
组	纟 且
急	尔字头 彐 心
留	留字头 田
坐	人 人 土
夜	亠 亻 夜下角
待	彳 寺
姐	女 且
英	贲字腰 见二 大
睡	目 千 艹 二
辖	车旁 宀 丰 口
乎	3 丷 于无横
努	女 又 力
朋	月 月
联	耳 丷 天
史	口 㐅
姑	女 古
兄	口 见字底
站	立 占
古	古
久	久二 4
香	禾 日
谈	讠 火 火
易	日 勹 横两撇
尝	龸 云
足	足
示	示
罗	罒 夕
帮	寿字头 阝 巾
暗	日 音
千	千
常	龸 口 巾
兵	丘无横 共字底
委	禾 女
复	卧人 日 夊
断	米 5 斤
节	贲字腰 节字底
破	石 皮
底	广 卬字旁 弋二 4
空	穴 工
答	竹头 合
治	氵 厶 口
掌	龸 口 手
放	方 攵
害	宀 丰 口
农	冖 衣省
共	龷 八
打	扌 丁
句	句
尽	尸 4 冬字底
备	夊 田
拿	合 手
围	囗 韦
注	氵 4 王
导	巳 寸
热	扌 九 4 灬
阳	阝 日
包	勹 巳
送	丷 天 辶
洲	氵 横三点 川
集	隹 木
愿	厂 白 小 心
呼	口 3 丷 于无横
希	㐅 左字框 巾
铁	钅 3 夫
买	5 冬字底 大
企	全字头 止旁
依	亻 衣
约	纟 勹 4
装	丬 士 衣
满	氵 贲字腰 1 内 人
院	阝 宀 二 见字底
招	扌 召
试	讠 弋 工
念	亽 5 心
兴	学字头 共字底
品	口 吅
七	七
需	雨头 而
重	千 里
母	母
妹	女 未
曾	曾字头 日
股	月 殳
声	士 眉字框
黄	龷 黄字底
木	木
证	讠 正
翠	羽 亠 人 人 十
爸	八 㐅 巴
刀	刀
阿	阝 可
队	阝 人
诉	讠 斤 4
故	古 攵
友	左字框 又
官	宀 㠯
商	商字头 八 口
赶	走 干
冰	冫 水
线	纟 1 戈
济	氵 文 乔字底
波	氵 皮
投	扌 殳
悉	釆 心
团	囗 于无横 3
考	耂 丂
静	龶 青字底 尔字头 争字底
专	二 5 4
脚	月 土 厶 卩
血	3 皿
非	非
基	其 土
闷	门 心
局	尸 5 口
楼	木 米 女
枚	木 攵
闻	门 耳
保	亻 口 木
查	木 旦
除	阝 全字头 余字底
规	夫 见
写	冖 1 5 1
造	告字头 口 辶
吓	口 1 卜
威	戊 1 女
况	冫 口 见字底
须	彡 页
六	六
福	礻 同字心 田
够	句 夕 夕
星	日 生
亮	亮字头 几
穿	穴 牙
任	亻 壬
级	纟 及
痛	疒 龴 甬字底
假	亻 叚字旁无二 二 叚右角 又
居	尸 古
标	木 示
护	扌 户
引	弓 2
迅	5 十 辶
布	左字框 巾
怀	忄 不
究	穴 九
项	工 页
响	口 向字框 口
淮	氵 隹
阵	阝 车
楚	林 疋
病	疒 1 内
低	亻 卬字旁 弋二 4
广	广
汤	氵 5 横两撇
具	具字头 八
价	亻 全字头 乔字底
存	在字框 子
统	纟 充字头 见字底
续	纟 十 5 冬字底 大
增	土 曾字头 日
亚	1 业
游	氵 方 卧人 子
少	少三 3
往	彳 4 王
另	口 力
座	广 人 人 土
梦	林 夕
球	⺩ 求
电	电
湖	氵 古 月
恐	工 几 4 心
哭	吅 犬
涂	氵 全字头 余字底
雪	雨头 彐
军	冖 车
融	鬲 虫
段	段字旁 殳
环	⺩ 不
击	举字底 凵
冲	冫 中
细	纟 田
格	木 各
雷	雨头 田
北	北字旁 匕
春	春字头 日
据	扌 尸 古
否	不 口
乱	舌 5
章	音 十
历	厂 力
追	3 㠯 辶
纪	纟 己
左	左字框 工
您	亻 尔字头 小 心
讲	讠 井
右	右
坚	临字旁 又 土
幸	土 南字心
银	钅 艮
权	木 又
既	即字旁 旡
雨	雨
换	扌 尔字头 见二 大
简	竹头 门 日
独	犭 虫
交	六 㐅
严	1 业无横 厂
洞	氵 冂 同字心
巴	巴
恋	变字头 心
习	习
消	氵 尚字头 青字底
类	米 大
呀	口 牙
河	氵 可
慢	忄 曼
脑	月 亠 㐅 凵
值	亻 直
省	少三 3 目
停	亻 亮字头 丁
医	匸 矢
退	艮 辶
富	宀 同字心 田
创	全字头 㔾 刂
愚	田 禺字底 心
观	又 见
啸	口 肀 乔字底 八
止	止旁
角	角
尼	尸 匕
极	木 及
岁	山 夕
丽	1 丽下角 丽下角
它	宀 匕
饭	饣 反字框 又
育	充字头 青字底
争	尔字头 争字底
尚	龸 口
毛	毛
啦	口 扌 立
丝	丝左角 纟
速	束 辶
继	纟 米 5
派	氵 反字框 旅下角
照	日 召 灬
境	土 音 见字底
宫	宀 口 口
药	贲字腰 纟 勹 4
余	全字头 余字底
肯	止旁 青字底
掉	扌 卢字头 日 十
安	宀 女
州	横三点 川
密	宀 心 3 山
婚	女 卬字旁 弋二 日
致	至 攵
皮	皮
群	聿三 3 口 羊
救	求 攵
料	米 斗
疑	匕 矢 龴 疋
般	舟 殳
艳	丰 尔字头 巴
嘴	口 止旁 匕 角
看	龵 目
助	且 力
初	衤 刀
哦	口 手 戈
维	纟 隹
旁	帝字头 方
寒	宀 寒字腰 八 冬字底
忍	刀 4 心
职	耳 口 八
户	户
妈	女 马
厂	厂
际	阝 示
懂	忄 贲字腰 千 里
嘛	口 广 林
称	禾 尔字头 小
案	宀 女 木
跑	足旁 勹 巳
漏	氵 尸 雨
班	⺩ 刀中 ⺩
陈	阝 东二 小
革	革
摇	扌 爫 缶
责	责
修	修字旁 夊 彡
靠	告字头 口 非
优	亻 尤
养	差字头 4 乔字底
构	木 勹 厶
米	米
沙	氵 少三 3
永	4 永无点
闪	门 人
抗	扌 亠 几
景	景
校	木 六 㐅
灵	彐 火
差	差字头 工
份	亻 八 刀
牛	牛
适	舌 辶
忘	亡 心
博	十 甫 寸
顿	1 屯无横 页
副	同字心 田 刂
贵	贵字头 贝
移	禾 夕 夕
味	口 未
塞	宀 寒字腰 八 土
店	广 占
演	氵 宀 1 黄字底
网	冂 㐅 㐅
承	5 水 三
斗	斗
净	冫 尔字头 争字底
裂	歹 刂 衣
胜	月 生
素	龶 糸
采	采
始	女 厶 口
咱	口 自
杨	木 5 横两撇
块	土 候右角 人
施	方 卧人 也
防	阝 方
划	戈 刂
苏	贲字腰 力 横两点
束	束
险	阝 亼 应字心
淡	氵 火 火
耳	耳
缓	纟 爫 1 左字框 又
食	食
堂	龸 口 土
跳	足旁 见字底 冫 飞无折
列	歹 刂
置	罒 直
索	索字头 糸
善	羊 䒑 口
恩	囗 大 心
胡	古 月
某	甘 木
鬼	鬼无厶 厶
草	贲字腰 日 十
土	土
驻	马 4 王
酒	氵 酉
艺	贲字腰 6
禁	林 示
仅	亻 又
持	扌 寺
翻	釆 田 羽
顺	川 页
充	充字头 见字底
读	讠 十 5 冬字底 大
钟	钅 中
练	纟 东二 拣字边无七
讨	讠 寸
卡	上 卜
型	开 刂 土
毕	比 十
肉	内 人
辈	非 车
协	十 力 横两点
眉	眉字框 目
齐	文 乔字底
烂	火 丷 三
版	片 反字框 又
描	扌 贲字腰 田
错	钅 龷 日
验	马 亼 应字心
仙	亻 山
良	4 艮
配	酉 己
莫	莫
卖	十 5 冬字底 大
属	尸 3 口 禺字底
阴	阝 月
折	扌 斤
狂	犭 ⺩
唐	广 肀 口
玩	⺩ 二 见字底
醒	酉 日 生
营	荧字头 口 口
吸	口 及
船	舟 几 口
层	尸 云
佛	亻 弓 乔字底
短	矢 豆
税	禾 兑字头 见字底
织	纟 口 八
康	广 隶字框 氺
益	䒑 八 皿
状	丬 犬
画	1 田 凵
册	册
脱	月 兑字头 见字底
卫	节字底 1
松	木 八 厶
率	亠 幺 冫 飞无折 十
逸	免五 见字底 4 辶
柔	矛 木
逼	同字心 田 辶
报	扌 卩 又
魔	广 林 鬼无厶 厶
肌	月 几
达	大 辶
律	彳 聿
活	氵 舌
庄	广 土
杭	木 亠 几
朱	3 未
器	吅 犬 吅
普	䒑 业 日
隐	阝 尔字头 彐 心
爷	八 㐅 节字底
聚	耳 又 乑
甚	其 5
警	贲字腰 句 攵 訁
励	厂 1 万无横 力
触	角 虫
散	龷 青字底 攵
笑	竹头 夭
浪	氵 4 艮
迷	米 辶
供	亻 龷 八
察	宀 祭字头 示
序	广 予
寻	彐 寸
孙	子 小
剧	尸 古 刂
港	氵 龷 八 巳
愧	忄 鬼无厶 厶
乡	乡
歧	止旁 十 又
忽	勹 横两撇 心
顶	丁 页
射	身 寸
藏	贲字腰 臧字框 臣
鱼	鱼
谋	讠 甘 木
困	囗 木
压	厂 土 4
虎	虍 几
算	竹头 目 廾
坏	土 不
积	禾 口 八
欲	谷 欠
字	宀 子
丈	1 乂
端	立 山 而
纸	纟 卬字旁 弋二
伯	亻 白
