奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
挺	1467	2393869	扌·壬·廴	hnu
励	1468	90040	厂·一·力	aei
辞	1469	73736	舌·辛·辛	mlx
艘	1470	127340	舟·臼·又	dzr
键	1471	307781	钅·聿·廴	tcu
伍	1472	147841	亻·五·五	mnu
峰	1473	676997	山·夊·丰	erp
尺	1474	65070	尸·丶·丶	tzd
昨	1475	149863	日·乍·乍	dca
黎	1476	191439	禾·勹·氺	wfi
辈	1477	54622	非·车·车	dnc
贯	1478	67261	毌·贝·贝	tqb
侦	1479	42207	亻·[卢字头]·贝	mpq
滑	1480	323670	氵·骨·骨	opg
券	1481	388928	龹·刀·刀	xpd
崇	1482	100582	山·宀·示	elq
扰	1483	55407	扌·尤·尤	hky
宪	1484	83384	宀·[告字头]·[见字底]	lpy
绕	1485	189078	纟·[尧字头]·兀	yqw
趋	1486	127991	走·[尔字头]·彐	fiu
慈	1487	112312	䒑·幺·心	sjn
乔	1488	253785	夭·[乔字底]·[乔字底]	gld
阅	1489	178404	门·[兑字头]·[见字底]	eqy
汗	1490	222342	氵·干·干	oeg
枝	1491	124981	木·十·又	sur
拖	1492	197631	扌·[卧人]·也	hfd
墨	1493	171454	黑·土·土	nat
胁	1494	23979	月·力·[横两点]	vit
插	1495	212365	扌·千·臼	hiz
箭	1496	91429	[竹头]·䒑·刂	psx
腊	1497	55399	月·龷·日	vyd
泥	1498	195187	氵·尸·匕	otc
粉	1499	814361	米·八·刀	xtp
氏	1500	595160	[卬字旁]·[弋二]·[弋二]	nbq
彭	1501	225778	壴·彡·彡	zps
拔	1502	169201	扌·[尤无折]·又	hcr
骗	1503	256128	马·户·[扁字心]	urg
凤	1504	204400	[风省]·又·又	wry
慧	1505	225886	丰·丰·心	ppn
媒	1506	185136	女·甘·木	gcs
佩	1507	307586	亻·[风省]·巾	mwf
愤	1508	20368	忄·十·贝	quq
扑	1509	76533	扌·卜·卜	hpb
龄	1510	133045	齿·令·令	ufl
驱	1511	104830	马·匸·㐅	uah
惜	1512	54689	忄·龷·日	qyd
豪	1513	255831	[亮字头]·豕·豕	uas
掩	1514	40747	扌·大·电	hkj
兼	1515	273231	䒑·[聿三]·[兼无䒑无彐]	sul
跃	1516	97994	[足旁]·夭·夭	rgy
尸	1517	56263	尸·尸·尸	tss
肃	1518	54255	肀·[乔字底]·八	qlt
帕	1519	428321	巾·白·白	fgb
驶	1520	130001	马·口·㐅	ujh
堡	1521	327445	亻·口·土	mja
届	1522	470646	尸·由·由	thy
欣	1523	204657	斤·欠·欠	lyq
惠	1524	408813	二·虫·心	tcn
册	1525	179069	册·册·册	gcc
储	1526	195522	亻·讠·者	miq
飘	1527	100834	覀·示·㐅	vqh
桑	1528	197760	又·双·木	rvs
闲	1529	159967	门·木·木	esm
惨	1530	97019	忄·厶·彡	qop
洁	1531	196606	氵·吉·吉	ocj
踪	1532	32801	[足旁]·宀·示	rlq
勃	1533	88337	[索字头]·子·力	ryi
宾	1534	157915	宀·[丘无横]·[共字底]	llt
频	1535	204454	[止旁]·[步字底]·页	khx
仇	1536	46346	亻·九·九	muj
磨	1537	172154	广·林·石	xqu
递	1538	100909	丷·[弟省]·辶	sdo
邪	1539	85903	牙·阝·阝	zzf
撞	1540	231253	扌·立·里	hyx
拟	1541	276340	扌·[以字旁]·人	hmk
滚	1542	127836	氵·[衣框]·厶	oco
奏	1543	70013	[春字头]·天·天	pgt
巡	1544	95429	巛·辶·辶	eod
颜	1545	212584	[立无横]·厂·页	yax
剂	1546	316532	文·[乔字底]·刂	clx
绩	1547	144581	纟·责·责	yge
贡	1548	105749	工·贝·贝	mqb
疯	1549	120107	疒·[风省]·㐅	kwh
坡	1550	132394	土·皮·皮	asp
瞧	1551	30148	目·隹·灬	kob
截	1552	162159	十·戈·隹	uqo
燃	1553	108937	火·[然左角]·灬	xvb
焦	1554	198764	隹·灬·灬	obh
殿	1555	139296	尸·龷·殳	tyb
伪	1556	114369	亻·丶·丶	mzz
柳	1557	214193	木·卯·卯	snm
锁	1558	237131	钅·[尚字头]·贝	tdq
逼	1559	218221	[同字心]·田·辶	mbo
颇	1560	128645	皮·页·页	sxy
昏	1561	34545	[卬字旁]·[弋二]·日	nbd
劝	1562	137270	又·力·力	ril
呈	1563	288371	口·⺩·⺩	jvw
搜	1564	277842	扌·臼·又	hzr
勤	1565	162726	革·二·力	yti
戒	1566	116100	戈·廾·廾	qhg
驾	1567	186705	力·口·马	iju
漂	1568	99938	氵·覀·示	ovq
饮	1569	258062	饣·欠·欠	nyq
曹	1570	255705	[曹字头]·日·日	gdr
朵	1571	116508	几·木·木	wsm
仔	1572	238441	亻·子·子	myi
柔	1573	104025	矛·木·木	rsm
俩	1574	322639	亻·一·人	mek
孟	1575	165634	子·皿·皿	yrm
腐	1576	91582	广·亻·人	xmk
幼	1577	136108	幺·力·力	jil
践	1578	45273	[足旁]·一·戈	req
籍	1579	168486	[竹头]·二·日	ptd
牧	1580	100363	牜·攵·攵	fyp
凉	1581	267417	冫·[享字头]·小	fuh
牲	1582	14058	牜·生·生	fts
佳	1583	503918	亻·圭·圭	mog
娜	1584	264559	女·乚·阝	gwz
浓	1585	300523	氵·冖·[衣省]	onc
芳	1586	206845	[贲字腰]·方·方	buf
稿	1587	129882	禾·高·高	wig
竹	1588	245663	竹·竹·竹	puu
腹	1589	133959	月·[卧人]·夊	vfr
跌	1590	434485	[足旁]·丿·夫	rax
逻	1591	26394	罒·夕·辶	dto
垂	1592	72752	千·艹·二	ibt
遵	1593	67620	酋·寸·辶	npo
脉	1594	89919	月·丶·[永无点]	vzi
貌	1595	53136	豸·白·[见字底]	igy
柏	1596	200951	木·白·白	sgb
狱	1597	31528	犭·讠·犬	liz
猜	1598	198729	犭·龶·[青字底]	lpv
怜	1599	23811	忄·令·令	qfl
惑	1600	35549	戈·[或字心]·心	qmn
陶	1601	182550	阝·勹·缶	zfb
兽	1602	140820	[兽字头]·[同字心]·[同字心]	qme
帐	1603	60239	巾·长·长	frc
饰	1604	420522	饣·[卧人]·巾	nff
贷	1605	313678	亻·弋·贝	maq
昌	1606	264259	日·日·日	ddr
叙	1607	47041	[全字头]·[余字底]·又	kwr
躺	1608	142685	身·龸·口	xdj
钢	1609	238169	钅·冂·㐅	tgh
沟	1610	210023	氵·勹·厶	ofo
寄	1611	141472	宀·大·可	lkn
扶	1612	144293	扌·夫·夫	hxf
铺	1613	207444	钅·甫·甫	tvf
邓	1614	216638	又·阝·阝	rzf
寿	1615	173062	[寿字头]·寸·寸	ppc
惧	1616	29694	忄·[具字头]·八	qut
询	1617	137525	讠·勹·日	ifd
汤	1618	1177994	氵·乚·[横两撇]	owi
盗	1619	144342	冫·欠·皿	fyr
肥	1620	256069	月·巴·巴	vvb
尝	1621	303292	龸·云·云	dty
匆	1622	12818	勹·[横两撇]·丶	fiz
辉	1623	283397	[尚字头]·兀·车	dwn
奈	1624	246047	大·示·示	kqs
扣	1625	237438	扌·口·口	hjk
廷	1626	149276	壬·廴·廴	nuy
澳	1627	194484	氵·[向字框]·大	oqk
嘛	1628	577413	口·广·林	jxq
董	1629	285753	[贲字腰]·千·里	bix
迁	1630	150222	千·辶·辶	iod
凝	1631	65562	冫·匕·疋	fch
慰	1632	31559	尸·示·心	tqn
厌	1633	34982	厂·犬·犬	azq
脏	1634	202502	月·广·土	vxa
腾	1635	157340	月·龹·马	vxu
幽	1636	61006	山·幺·幺	ejj
怨	1637	52448	夕·㔾·心	tbn
鞋	1638	301468	革·圭·圭	yog
丢	1639	199318	壬·厶·厶	nos
埋	1640	117266	土·里·里	axl
泉	1641	253796	白·水·水	gis
涌	1642	95130	氵·龴·[甬字底]	ooq
辖	1643	108423	[车旁]·宀·口	nlj
躲	1644	103235	身·几·木	xws
晋	1645	189127	一·业·日	eld
紫	1646	231256	[止旁]·匕·糸	kcz
艰	1647	52051	又·艮·艮	rzg
魏	1648	252057	禾·女·厶	wgo
吾	1649	125964	五·口·口	njk
慌	1650	46952	忄·[贲字腰]·[荒字底]	qbe
祝	1651	278933	礻·口·[见字底]	rjy
邮	1652	92755	由·阝·阝	hzf
吐	1653	175888	口·土·土	jat
狠	1654	87670	犭·艮·艮	lzg
鉴	1655	93462	[临字旁]·[临右角]·金	ppt
曰	1656	125011	曰·曰·曰	drr
械	1657	41094	木·戈·廾	sqh
咬	1658	230724	口·六·㐅	jmh
邻	1659	75822	令·阝·阝	fzf
赤	1660	152015	土·[亦字底]·[亦字底]	aly
挤	1661	221783	扌·文·[乔字底]	hcl
弯	1662	124658	[变字头]·弓·弓	alg
椅	1663	82101	木·大·可	skn
陪	1664	306916	阝·立·口	zyj
割	1665	101520	宀·丰·刂	lpx
揭	1666	75169	扌·日·亾	hda
韦	1667	295853	韦·韦·韦	lww
悟	1668	66797	忄·五·口	qnj
聪	1669	92058	耳·[兑字头]·心	xqn
雾	1670	122333	[雨头]·夊·力	lri
锋	1671	153654	钅·夊·丰	trp
梯	1672	68983	木·丷·[弟省]	ssd
猫	1673	535379	犭·[贲字腰]·田	lbb
祥	1674	180810	礻·羊·羊	riy
阔	1675	68468	门·氵·舌	eom
誉	1676	68929	[学字头]·[共字底]·訁	dtw
筹	1677	98125	[竹头]·[寿字头]·寸	ppp
丛	1678	57469	人·人·一	kke
牵	1679	103079	大·冖·牛	knp
鸣	1680	130177	口·鸟·鸟	jln
沈	1681	287241	氵·冖·[见字底]	ony
阁	1682	167848	门·各·各	edg
穆	1683	222508	禾·白·彡	wgp
屈	1684	77516	尸·屮·凵	tyk
旨	1685	34111	匕·日·日	cdr
袖	1686	62705	衤·由·由	fhy
猎	1687	62340	犭·龷·日	lyd
臂	1688	76553	尸·口·[青字底]	tjv
蛇	1689	168276	虫·宀·匕	clc
贺	1690	170485	力·口·贝	ijq
柱	1691	223268	木·丶·王	szv
抛	1692	156644	扌·九·力	hui
鼠	1693	131577	鼠·鼠·鼠	yss
瑟	1694	133730	⺩·⺩·丿	vva
戈	1695	229562	戈·戈·戈	qgg
牢	1696	61648	宀·牛·牛	lpn
逊	1697	110638	子·小·辶	yho
迈	1698	159844	一·[万无横]·辶	epo
欺	1699	38454	其·欠·欠	gyq
吨	1700	251920	口·一·[屯无横]	jey
琴	1701	191594	⺩·⺩·乚	vvw
衰	1702	99293	[衣框]·[见二]·二	cgt
瓶	1703	272933	丷·开·瓦	scz
恼	1704	23659	忄·亠·凵	qmk
燕	1705	224450	廿·口·灬	yjb
仲	1706	200788	亻·中·中	mgo
诱	1707	56630	讠·禾·乃	iwv
狼	1708	166529	犭·丶·艮	lzz
池	1709	308029	氵·也·也	ody
疼	1710	245268	疒·夊·[冬字底]	krf
卢	1711	397039	[卢字头]·尸·尸	pts
仗	1712	38399	亻·一·乂	meh
冠	1713	262376	冖·二·寸	ntp
粒	1714	173492	米·立·立	xyl
遥	1715	91284	爫·缶·辶	fbo
吕	1716	241565	口·口·口	jjk
玄	1717	106417	亠·幺·幺	mjy
尘	1718	75911	小·土·土	hat
冯	1719	267908	冫·马·马	fum
抚	1720	52477	扌·无·无	hau
浅	1721	188933	氵·一·戈	oeq
敦	1722	119853	[享字头]·子·攵	uyy
纠	1723	63604	纟·丩·丩	ybj
钻	1724	106718	钅·占·占	tpa
晶	1725	140497	日·日·日	ddd
岂	1726	16405	山·己·己	ehj
峡	1727	48645	山·夫·丷	exs
苍	1728	56140	[贲字腰]·[全字头]·㔾	bkb
喷	1729	266338	口·十·贝	juq
耗	1730	108010	二·木·毛	tsp
凌	1731	159359	冫·土·夊	far
敲	1732	91684	高·攴·攴	iud
菌	1733	206326	[贲字腰]·囗·禾	bww
赔	1734	155120	贝·立·口	qyj
涂	1735	246287	氵·[全字头]·[余字底]	okw
粹	1736	16326	米·亠·十	xmu
扁	1737	68493	户·[扁字心]·[扁字心]	rgc
亏	1738	164945	一·丂·丂	efk
寂	1739	26987	宀·上·又	lir
煤	1740	155377	火·甘·木	xcs
熊	1741	298496	厶·[青字底]·灬	ovb
恭	1742	66332	龷·八·[恭字底]	yth
湿	1743	238931	氵·日·业	odl
循	1744	75051	彳·[反字框]·目	wak
暖	1745	247796	日·爫·又	dfr
糖	1746	509468	米·广·口	xxj
赋	1747	66614	贝·一·[止旁]	qek
抑	1748	70478	扌·[卬字旁]·卩	hnb
秩	1749	27322	禾·丿·夫	wax
帽	1750	82262	巾·[冒字头]·目	fdk
哀	1751	46139	[衣框]·口·口	cjk
宿	1752	112094	宀·亻·百	lmd
踏	1753	102496	[足旁]·水·日	rid
烂	1754	326122	火·丷·三	xsj
袁	1755	206346	土·口·[衣省]	ajc
侯	1756	220475	亻·[候右角]·矢	maf
抖	1757	88499	扌·斗·斗	htd
夹	1758	193933	夫·丷·丷	xsb
昆	1759	150259	日·比·比	dzb
肝	1760	225523	月·干·干	veg
擦	1761	227724	扌·宀·示	hlq
猪	1762	417351	犭·者·者	lqe
炼	1763	90417	火·[东二]·[拣字边无七]	xbh
恒	1764	239393	忄·一·旦	qev
慎	1765	97035	忄·直·八	qnt
搬	1766	217793	扌·舟·殳	hdb
纽	1767	162730	纟·乚·[里无日]	ywa
纹	1768	192439	纟·文·文	ycw
玻	1769	49157	⺩·皮·皮	vsp
渔	1770	62737	氵·鱼·鱼	ozv
磁	1771	70518	石·䒑·幺	usj
铜	1772	184038	钅·冂·[同字心]	tgm
齿	1773	107576	齿·齿·齿	ucc
跨	1774	298697	[足旁]·大·丂	rkf
押	1775	66168	扌·甲·甲	hdj
怖	1776	22664	忄·[左字框]·巾	qcf
漠	1777	22176	氵·莫·莫	oom
疲	1778	33475	疒·皮·皮	ksp
叛	1779	19646	丷·[夫三]·又	shr
遣	1780	33207	[贵字头]·㠯·辶	cpo
兹	1781	361032	䒑·幺·幺	sjj
祭	1782	102686	[祭字头]·示·示	tqs
醉	1783	119757	酉·亠·十	pmu
拳	1784	140273	龹·手·手	xhs
弥	1785	69700	弓·[尔字头]·小	lih
斜	1786	103194	[全字头]·[余字底]·斗	kwt
档	1787	235302	木·[尚字头]·彐	sdu
稀	1788	118836	禾·㐅·巾	whf
捷	1789	159960	扌·[妻字头]·龰	hch
肤	1790	141793	月·夫·夫	vxf
疫	1791	39406	疒·殳·殳	kbs
肿	1792	85511	月·中·中	vgo
豆	1793	238933	豆·豆·豆	fdd
削	1794	59756	[尚字头]·[青字底]·刂	dvx
岗	1795	182291	山·冂·㐅	egh
晃	1796	60293	日·[尚字头]·兀	ddw
吞	1797	83955	天·口·口	gjk
宏	1798	256377	宀·[左字框]·厶	lco
癌	1799	172231	疒·口·山	kje
肚	1800	99296	月·土·土	vat
隶	1801	31337	[隶字框]·氺·氺	cis
履	1802	47076	尸·彳·夊	twr
涨	1803	667634	氵·弓·长	olr
耀	1804	162229	[尚字头]·兀·隹	dwo
扭	1805	75001	扌·乚·[里无日]	hwa
坛	1806	88151	土·云·云	aty
拨	1807	103863	扌·[发无又]·又	hyr
沃	1808	314793	氵·夭·夭	ogy
绘	1809	117475	纟·[全字头]·云	ykt
伐	1810	75077	亻·戈·戈	mqg
堪	1811	54861	土·其·乚	agw
仆	1812	21378	亻·卜·卜	mpb
郭	1813	442291	[享字头]·子·阝	uyz
牺	1814	10054	牜·西·西	fgx
歼	1815	37318	歹·千·千	uiq
墓	1816	129622	莫·土·土	oat
雇	1817	29779	户·隹·隹	rou
廉	1818	81008	广·䒑·[兼无䒑无彐]	xsl
契	1819	80344	丰·刀·大	ppk
拼	1820	278909	扌·丷·开	hsc
惩	1821	22128	彳·正·心	wcn
捉	1822	41678	扌·足·足	hru
覆	1823	114300	覀·彳·夊	vwr
刷	1824	465990	尸·巾·刂	tfx
劫	1825	60084	土·厶·力	aoi
嫌	1826	137279	女·䒑·[兼无䒑无彐]	gsl
瓜	1827	185192	瓜·瓜·瓜	agg
歇	1828	57021	日·勹·欠	dfy
雕	1829	79834	[周字框]·[周字心]·隹	gio
闷	1830	73926	门·心·心	enx
乳	1831	161885	爫·子·乚	fyw
串	1832	218940	中·中·中	ggo
娃	1833	141383	女·圭·圭	gog
缴	1834	107503	纟·白·攵	ygy
唤	1835	27530	口·[尔字头]·大	jik
赢	1836	272755	吂·[月凡]·贝	afq
莲	1837	155458	[贲字腰]·车·辶	bno
霸	1838	120080	[雨头]·革·月	lyv
桃	1839	136736	木·[见字底]·[飞无折]	syf
妥	1840	39303	爫·女·女	fgn
瘦	1841	335176	疒·臼·又	kzr
搭	1842	318867	扌·[贲字腰]·合	hbq
赴	1843	168120	走·卜·卜	fpb
岳	1844	138421	[丘无横]·一·山	lee
嘉	1845	477236	壴·力·口	zij
舱	1846	84122	舟·[全字头]·㔾	dkb
俊	1847	244270	亻·厶·夊	mor
址	1848	88037	土·[止旁]·[止旁]	aki
庞	1849	79616	广·龙·龙	xul
耕	1850	47670	二·木·井	tsq
锐	1851	130941	钅·[兑字头]·[见字底]	tqy
缝	1852	96616	纟·夊·辶	yro
悔	1853	35315	忄·[卧人]·母	qft
邀	1854	186526	白·方·辶	guo
玲	1855	141655	⺩·令·令	vfl
惟	1856	61165	忄·隹·隹	qou
斥	1857	20662	斤·丶·丶	lzd
宅	1858	158826	宀·丿·七	lab
添	1859	224201	氵·天·[恭字底]	ogh
挖	1860	223078	扌·穴·乙	hww
呵	1861	46338	口·可·可	jnk
讼	1862	20234	讠·八·厶	ito
氧	1863	127448	气·羊·羊	fiy
浩	1864	214663	氵·[告字头]·口	opj
羽	1865	169084	羽·羽·羽	nvv
斤	1866	272769	斤·斤·斤	ljj
酷	1867	252324	酉·[告字头]·口	ppj
掠	1868	16696	扌·[享字头]·小	huh
妖	1869	71972	女·夭·夭	ggy
祸	1870	42175	礻·口·内	rje
侍	1871	46175	亻·寺·寺	mls
乙	1872	187240	乙·乙·乙	wii
妨	1873	17556	女·方·方	guf
贪	1874	64224	亽·乚·贝	fwq
挣	1875	112056	扌·[尔字头]·[争字底]	hic
汪	1876	166406	氵·⺩·⺩	ovw
尿	1877	152992	尸·水·水	tis
莉	1878	236722	[贲字腰]·禾·刂	bwx
悬	1879	88116	且·厶·心	uon
唇	1880	90919	辰·口·口	zjk
翰	1881	56447	十·日·羽	udn
仓	1882	294468	[全字头]·㔾·㔾	kbj
轨	1883	186021	[车旁]·九·九	nuj
枚	1884	219348	木·攵·攵	syp
盐	1885	641865	土·卜·皿	apr
览	1886	65047	[临字旁]·[临右角]·见	ppe
傅	1887	115471	亻·甫·寸	mvp
帅	1888	306134	[师字旁]·巾·巾	pfj
庙	1889	185605	广·由·由	xhy
芬	1890	178473	[贲字腰]·八·刀	btp
屏	1891	249091	尸·丷·开	tsc
寺	1892	526149	寺·寺·寺	lss
胖	1893	249917	月·丷·[举字底]	vsh
璃	1894	39776	⺩·亠·禸	vme
愚	1895	32862	田·[禺字底]·心	ben
滴	1896	351082	氵·[商字头]·古	oyn
疏	1897	71247	[疏字旁]·[充字头]·[荒字底]	hte
萧	1898	151391	[贲字腰]·肀·八	bqt
姿	1899	76615	冫·欠·女	fyg
颤	1900	14597	亠·回·页	mex
丑	1901	206669	乚·[里无日]·[里无日]	wat
劣	1902	39082	[少三]·丿·力	hai
柯	1903	177118	木·可·可	snk
寸	1904	139040	寸·寸·寸	pcc
扔	1905	162814	扌·乃·乃	hvn
盯	1906	85129	目·丁·丁	kid
辱	1907	20043	辰·寸·寸	zpc
匹	1908	92378	匸·[见字底]·[见字底]	aye
俱	1909	84861	亻·[具字头]·八	mut
辨	1910	53596	[辛旁]·[刀中]·辛	lpl
饿	1911	200224	饣·手·戈	nhq
蜂	1912	77113	虫·夊·丰	crp
哦	1913	1268340	口·手·戈	jhq
腔	1914	79588	月·穴·工	vwm
郁	1915	82319	[左字框]·[青字底]·阝	cvz
溃	1916	26392	氵·[贵字头]·贝	ocq
谨	1917	47671	讠·革·二	iyt
糟	1918	61280	米·[曹字头]·日	xgd
葛	1919	160002	[贲字腰]·日·亾	bda
苗	1920	127118	[贲字腰]·田·田	bbt
肠	1921	175871	月·乚·[横两撇]	vwi
忌	1922	113674	己·心·心	hnx
溜	1923	84509	氵·[留字头]·田	onb
鸿	1924	164403	氵·工·鸟	oml
爵	1925	40512	爫·罒·寸	fdp
鹏	1926	223249	月·月·鸟	vvl
鹰	1927	112852	广·亻·鸟	xml
笼	1928	124832	[竹头]·龙·龙	pul
丘	1929	105533	[丘无横]·一·一	lei
桂	1930	167767	木·圭·圭	sog
滋	1931	80419	氵·䒑·幺	osj
聊	1932	338563	耳·卯·卯	xnm
挡	1933	173376	扌·[尚字头]·彐	hdu
纲	1934	112431	纟·冂·㐅	ygh
肌	1935	250186	月·几·几	vwj
茨	1936	274949	[贲字腰]·冫·欠	bfy
壳	1937	161893	[壳字头]·几·几	rwj
痕	1938	48747	疒·艮·艮	kzg
碗	1939	519785	石·宀·㔾	ulb
穴	1940	91749	穴·穴·穴	wxx
膀	1941	14200	月·[帝字头]·方	vyu
卓	1942	153404	[卢字头]·日·十	pdu
贤	1943	194619	[临字旁]·又·贝	prq
卧	1944	82903	臣·卜·卜	vpb
膜	1945	187178	月·莫·莫	vom
毅	1946	123076	立·[豕省]·殳	yvb
锦	1947	186303	钅·白·巾	tgf
欠	1948	159565	欠·欠·欠	yqq
哩	1949	41594	口·里·里	jxl
函	1950	118611	乚·氺·凵	wik
茫	1951	14987	[落字框]·亡·亡	caw
昂	1952	155443	日·[卬字旁]·卩	dnb
薛	1953	122126	[贲字腰]·丿·辛	bal
皱	1954	47667	[尔字头]·彐·皮	ius
夸	1955	91018	大·一·丂	kef
豫	1956	58639	予·象·象	box
胃	1957	253601	田·[青字底]·[青字底]	bvy
舌	1958	91813	舌·舌·舌	mss
剥	1959	56612	[录字头]·氺·刂	uix
傲	1960	45890	亻·龶·攵	mpy
拾	1961	44611	扌·合·合	hqh
窝	1962	111432	穴·口·内	wje
睁	1963	37843	目·[尔字头]·[争字底]	kic
携	1964	100864	扌·隹·乃	hov
陵	1965	116313	阝·土·夊	zar
哼	1966	39301	口·[享字头]·了	juj
棉	1967	99224	木·白·巾	sgf
晴	1968	109104	日·龶·[青字底]	dpv
铃	1969	73283	钅·令·令	tfl
填	1970	210699	土·直·八	ant
饲	1971	21929	饣·乚·[同字心]	nwm
渴	1972	36471	氵·日·亾	oda
吻	1973	79717	口·勹·[横两撇]	jfi
扮	1974	66230	扌·八·刀	htp
逆	1975	106905	䒑·䶹·辶	syo
脆	1976	334332	月·[尔字头]·㔾	vib
喘	1977	30737	口·山·而	jez
罩	1978	49055	罒·[卢字头]·十	dpu
卜	1979	100552	卜·卜·卜	pbb
炉	1980	100944	火·户·户	xrh
柴	1981	118161	[止旁]·匕·木	kcs
愉	1982	68277	忄·亼·刂	qrx
绳	1983	64026	纟·口·电	yjj
胎	1984	179930	月·厶·口	voj
蓄	1985	44784	[贲字腰]·亠·田	bmb
眠	1986	61689	目·民·民	kdm
竭	1987	16955	立·日·亾	yda
喂	1988	144053	口·田·[畏字底]	jbc
傻	1989	161438	亻·[囱字框]·夊	mqr
慕	1990	91220	莫·[恭字底]·[恭字底]	ohx
浑	1991	31449	氵·冖·车	onn
奸	1992	25356	女·干·干	geg
扇	1993	94379	户·羽·羽	rnv
柜	1994	105381	木·匸·[叚右角]	saa
悦	1995	210602	忄·[兑字头]·[见字底]	qqy
拦	1996	48743	扌·丷·三	hsj
诞	1997	61187	讠·丿·廴	iau
饱	1998	294688	饣·勹·巳	nfc
乾	1999	40342	十·日·乙	udw
泡	2000	375464	氵·勹·巳	ofc
贼	2001	85636	贝·戈·[左字框]	qqc
亭	2002	143943	[亮字头]·丁·丁	uid
夕	2003	50988	夕·夕·夕	txx
爹	2004	84929	八·㐅·夕	tht
酬	2005	29960	酉·[横三点]·川	pde
儒	2006	62461	亻·[雨头]·而	mlz
姻	2007	30298	女·囗·大	gwk
卵	2008	75867	卵·卵·卵	vll
氛	2009	27829	气·八·刀	ftp
泄	2010	54778	氵·廿·乚	oyw
杆	2011	169992	木·干·干	seg
挨	2012	43169	扌·厶·矢	hof
僧	2013	68232	亻·[曾字头]·日	mqd
蜜	2014	145066	宀·心·虫	lnc
吟	2015	32079	口·亽·乚	jfw
猩	2016	9035	犭·日·生	ldt
遂	2017	94049	䒑·[豕省]·辶	svo
狭	2018	35025	犭·夫·丷	lxs
肖	2019	188146	[尚字头]·[青字底]·[青字底]	dvy
甜	2020	588877	舌·甘·甘	mcg
霞	2021	94893	[雨头]·[叚字旁无二]·又	ltr
驳	2022	16550	马·㐅·㐅	uhh
裕	2023	120631	衤·谷·谷	fug
顽	2024	19878	二·[见字底]·页	tyx
於	2025	69260	方·[全字头]·[冬字底]	ukf
摘	2026	114191	扌·[商字头]·古	hyn
矮	2027	71604	矢·禾·女	fwg
秒	2028	304631	禾·[少三]·丿	wha
卿	2029	98430	[卬字旁]·丿·卩	nab
畜	2030	19028	亠·幺·田	mjb
咽	2031	70536	口·囗·大	jwk
披	2032	100946	扌·皮·皮	hsp
辅	2033	128925	[车旁]·甫·甫	nvf
勾	2034	90476	勹·厶·厶	fos
盆	2035	186845	八·刀·皿	tpr
疆	2036	50999	弓·土·一	lae
赌	2037	77772	贝·者·者	qqe
塑	2038	95775	䒑·䶹·土	sya
畏	2039	27178	田·一·[畏字底]	bec
吵	2040	181175	口·[少三]·丿	jha
囊	2041	82901	[囊字头]·吅·[衣省]	rpc
嗯	2042	157982	口·囗·心	jwn
泊	2043	43896	氵·白·白	ogb
肺	2044	181545	月·[丙三]·丨	vwd
骤	2045	30501	马·耳·乑	uxi
缠	2046	52065	纟·广·里	yxx
冈	2047	176038	冂·㐅·㐅	ghi
羞	2048	23422	[差字头]·乚·[里无日]	iwa
瞪	2049	20380	目·癶·豆	ktf
吊	2050	97843	口·巾·巾	jfj
贾	2051	247206	覀·贝·贝	vqb
漏	2052	134676	氵·尸·雨	otl
斑	2053	148859	⺩·文·⺩	vcv
涛	2054	154345	氵·[寿字头]·寸	opp
悠	2055	61106	[修字旁]·攵·心	myn
鹿	2056	155658	鹿·鹿·鹿	dll
俘	2057	9058	亻·爫·子	mfy
锡	2058	177512	钅·日·[横两撇]	tdi
卑	2059	36670	[卑六]·十·十	bus
葬	2060	56506	[贲字腰]·歹·廾	buh
铭	2061	123262	钅·夕·口	ttj
滩	2062	68384	氵·又·隹	oro
嫁	2063	181959	女·宀·豕	gla
催	2064	129821	亻·山·隹	meo
璇	2065	27669	⺩·方·疋	vuh
翅	2066	70538	十·又·羽	urn
盒	2067	194655	合·皿·皿	qrm
蛮	2068	971629	[变字头]·虫·虫	acc
矣	2069	60928	厶·矢·矢	ofs
潘	2070	234100	氵·釆·田	orb
歧	2071	27055	[止旁]·十·又	kur
赐	2072	59706	贝·日·[横两撇]	qdi
鲍	2073	97632	鱼·勹·巳	zfc
锅	2074	726670	钅·口·内	tje
廊	2075	54646	广·丶·阝	xzz
拆	2076	183426	扌·斤·丶	hlz
灌	2077	74944	氵·[贲字腰]·隹	obo
勉	2078	24999	[免五]·[见字底]·力	oyi
盲	2079	74322	亡·目·目	akm
宰	2080	50890	宀·辛·辛	llx
佐	2081	253888	亻·[左字框]·工	mcm
啥	2082	587764	口·[全字头]·[舍字底]	jkm
胀	2083	56143	月·长·长	vrc
扯	2084	112325	扌·[止旁]·[止旁]	hki
禧	2085	24563	礻·壴·口	rzj
辽	2086	93974	了·辶·辶	jod
抹	2087	166126	扌·末·末	hqm
筒	2088	56949	[竹头]·冂·[同字心]	pgm
棋	2089	112883	木·其·其	sgq
裤	2090	96548	衤·广·车	fxn
唉	2091	107532	口·厶·矢	jof
朴	2092	156570	木·卜·卜	spb
咐	2093	1779	口·亻·寸	jmp
