奕码·优化版 拆分表（hanzi-chai驱动，共8230字）
说明: 拆分中[xx]为PUA部件名；编码为三码全码；排名0=非top6000
------------------------------------------------------------
字	排名	频率	拆分	编码
二	157	2662851	二·二·二	tee
等	158	14146876	[竹头]·寺·寺	pls
产	159	1342788	[立无横]·厂·厂	yac
或	160	6169701	戈·[或字心]·[或字心]	qme
新	161	7075049	立·朩·斤	ysl
己	162	693266	己·己·己	hjj
制	163	1438715	牛·巾·刂	pfx
身	164	925354	身·身·身	xss
果	165	1084312	田·木·木	bsm
加	166	3142678	力·口·口	ijk
西	167	1986939	西·西·西	gxx
斯	168	2144816	其·斤·斤	glj
月	169	3827112	月·月·月	vyy
话	170	1693087	讠·舌·舌	ims
合	171	1601610	合·合·合	qhh
回	172	1858486	回·回·回	ehh
特	173	1994820	牜·寺·寺	fls
代	174	1021589	亻·弋·弋	mai
内	175	4146610	内·内·内	enn
信	176	1714394	亻·訁·訁	mwy
表	177	1463941	龶·[衣省]·[衣省]	pci
化	178	2616481	亻·[化字边]·[化字边]	mmb
老	179	2424926	耂·匕·匕	qcb
给	180	6985613	纟·合·合	yqh
世	181	797793	廿·乚·乚	ywe
位	182	2612175	亻·立·立	myl
次	183	2184441	冫·欠·欠	fyq
度	184	2151683	广·廿·又	xyr
门	185	1481594	门·门·门	emm
任	186	1228609	亻·壬·壬	mnr
常	187	1336730	龸·口·巾	djf
先	188	2600431	[告字头]·[见字底]·[见字底]	pye
海	189	1705733	氵·[卧人]·母	oft
通	190	1699607	龴·[甬字底]·辶	oqo
教	191	1205433	耂·子·攵	qyy
儿	192	903128	[见字底]·[见字底]·[见字底]	yee
原	193	1885079	厂·白·小	agh
东	194	1878233	[东二]·小·小	bhx
声	195	681908	士·[眉字框]·[眉字框]	zts
提	196	1784603	扌·日·[定字底]	hdh
立	197	976290	立·立·立	yll
及	198	4184384	及·及·及	sjj
比	199	5115851	比·比·比	zbb
员	200	1123829	口·贝·贝	jqb
解	201	878556	角·刀·牛	ipp
水	202	3115574	水·水·水	iss
名	203	2999469	夕·口·口	tjk
真	204	2304485	直·八·八	ntb
论	205	633249	讠·[全字头]·匕	ikc
处	206	1878856	夊·卜·卜	rpb
走	207	2489858	走·走·走	foo
义	208	545794	丶·㐅·㐅	zhi
各	209	2055288	各·各·各	dgg
入	210	2184735	入·入·入	frr
几	211	958259	几·几·几	wjj
口	212	1316611	口·口·口	jkk
认	213	657415	讠·人·人	ikr
条	214	1609266	夊·朩·朩	rsm
平	215	1769648	干·丷·丷	esb
系	216	1686829	丿·糸·糸	azm
气	217	998056	气·气·气	fqq
题	218	1359367	日·[定字底]·页	dhx
活	219	1225044	氵·舌·舌	oms
尔	220	1694086	[尔字头]·小·小	ihx
更	221	10117320	更·更·更	kgg
别	222	1595352	口·力·刂	jix
打	223	2933016	扌·丁·丁	hid
女	224	2006798	女·女·女	gnn
变	225	1527852	[变字头]·又·又	ary
四	226	1969564	四·四·四	gss
神	227	1122776	礻·申·申	rws
总	228	2343069	[兑字头]·心·心	qnx
何	229	886436	亻·可·可	mnk
电	230	1612295	电·电·电	jdd
数	231	1857146	米·女·攵	xgy
安	232	1751948	宀·女·女	lgn
少	233	2355655	[少三]·丿·丿	hap
报	234	1585591	扌·卩·又	hbr
才	235	4255882	[于无横]·丿·丿	uap
结	236	745391	纟·吉·吉	ycj
反	237	915334	[反字框]·又·又	ary
受	238	1807849	[爱字头]·又·又	jry
目	239	1119493	目·目·目	kmm
太	240	5983780	大·丶·丶	kzd
量	241	1995503	旦·里·里	vxl
再	242	5113828	[丙三]·[里无日]·[里无日]	wat
感	243	1497221	戊·[同字心]·心	jmn
建	244	1454729	聿·廴·廴	cuy
务	245	877521	夊·力·力	ril
做	246	7527841	亻·古·攵	mny
接	247	1126736	扌·立·女	hyg
必	248	804109	心·丿·丿	nap
场	249	2306286	土·乚·[横两撇]	awi
件	250	952627	亻·牛·牛	mpn
计	251	953783	讠·十·十	ius
管	252	1615554	[竹头]·宀·㠯	plp
期	253	2214193	其·月·月	gvy
