# 奕码优化版 字根编码表 (小码=官方音托不变, 大码=优化指派)
# 格式: 字根	编码(大+小)	拼音	音托依据	变体(形近归并)
十	us	shi	声母托	
廴	uy	yin	声母托	
车	uc	che	声母托	 車
末	um	mo	声母托	
齿	uc	chi	声母托	
黑	uh	hei	声母托	黒
而	ue	er	声母托	
酉	uy	you	声母托	
七	uq	qi	声母托	 
毌	ug	guan	声母托	
夫	uf	fu	声母托	龹
匕	vb	bi	声母托	   
山	vs	shan	声母托	
及	vj	ji	声母托	
小	vx	xiao	声母托	   
且	vq	qie	声母托	
月	vy	yue	声母托	   冃 
九	vj	jiu	声母托	
5	we	5	形托/约定	
贝	wb	bei	声母托	
亦	wi	yi	韵母托	
禾	wh	he	声母托	 
雨	wv	yu	ü→v韵托	
豕	ws	shi	声母托	
片	wp	pian	声母托	 丬 爿  
幺	wy	yao	声母托	
鬲	wg	ge	声母托	
生	ws	sheng	声母托	
厂	xc	chang	声母托	
廿	xn	nian	声母托	龷
囗	xk	wei	形托/约定	
合	xh	he	声母托	亼
卜	xb	bo	声母托	
儿	xe	er	声母托	
火	xh	huo	声母托	灬
虍	xh	hu	声母托	
圭	xg	gui	声母托	
羽	xv	yu	ü→v韵托	
中	yo	zhong	韵母托	
册	yc	ce	声母托	冊  
疒	yb	ne	形托/约定	
彐	yw	ji	形托/约定	   彑
匚	yk	fang	形托/约定	  匸
目	ym	mu	声母托	
大	yd	da	声母托	
示	ys	shi	声母托	礻
无	yu	wu	韵母托	無 旡 兂
4	zd	4	形托/约定	
	zk		部件(形托)	
内	zn	nei	声母托	 禸
页	zy	ye	声母托	頁   
气	zq	qi	声母托	
上	zs	shang	声母托	
戊	zu	wu	韵母托	 戉
士	zs	shi	声母托	
句	zj	ju	声母托	
川	zc	chuan	声母托	巛 巜 
玉	zv	yu	ü→v韵托	
广	zg	guang	声母托	
虫	zc	chong	声母托	
