# 奕码优化版 拆分表 (官方拆分 100% 保真, 根名为主根字符)
的	白 勹 4
鉴	刀 竹 金
曰	日
械	木 戈 艹
咬	口 六 乂
邻	令 耳
赤	土 业
挤	手 文 
弯	亦 弓
椅	木 大 可
陪	耳 立 口
割	宀 丰 口 刀
揭	手 日 勹 亡
韦	韦
悟	心 五 口
聪	耳  心
雾	雨 夂 力
锋	金 夂 丰
梯	木 丷 
猫	犬 艹 田
祥	示 羊
阔	门 氵 舌
誉	龸 八 言
筹	竹 丰 寸
丛	人 人 1
牵	大 冖 牛
鸣	口 鸟
沈	氵 冖 儿
阁	门 各
穆	禾 白 小 彡
屈	尸 屮 冂
旨	匕 日
袖	衣 由
猎	犬 廿 日
臂	尸 口 辛 月
蛇	虫 宀 匕
贺	力 口 贝
柱	木 4 王
抛	手 九 力
鼠	鼠
瑟	王 王 心 3
戈	戈
牢	宀 牛
逊	子 小 辶
迈	1 刀 辶
欺	其 欠
吨	口 1 屮
琴	王 王 令 5
衰	衣 冂 二
瓶	丷 开 瓦
恼	心 亠 乂 冂
燕	廿 口 片 匕 火
仲	亻 中
诱	言 禾 乃
狼	犬 4 艮
池	氵 也
疼	疒 夂 冫
卢	卜 尸
仗	亻 1 乂
冠	冖 二 儿 寸
粒	米 立
遥	爪 缶 辶
吕	口 口
玄	亠 幺
尘	小 土
冯	冫 马
抚	手 无
浅	氵 1 戈
敦	高 子 夂
纠	纟 卩
钻	金 占
晶	日 日 日
岂	山 己
峡	山 夫 丷
苍	艹 人 卩
喷	口 十 艹 贝
耗	二 木 毛
凌	冫 土 八 夂
敲	高 歹
菌	艹 囗 禾
赔	贝 立 口
涂	氵 人 禾
粹	米 亠 人 人 十
扁	户 册
亏	1 丂
寂	宀 上 小 又
煤	火 甘 木
熊	厶 月 匕 匕 火
恭	廿 八 小
湿	氵 日 业
循	彳 厂 十 目
暖	日 爪 1 右 又
糖	米 广 聿 口
赋	贝 1 弋 止
抑	手 卯 卩
秩	禾 3 夫
帽	巾 日 目
哀	衣 口
宿	宀 亻 百
踏	足 水 日
烂	火 丷 三
袁	土 口 衣
侯	亻 匚 矢
抖	手 斗
夹	夫 丷
昆	日 比
肝	月 干
擦	手 宀 八 示
猪	犬 者
炼	火 七 小
恒	心 1 旦
慎	心 直 八
搬	手 舟 殳
纽	纟 5 土
纹	纟 文
玻	王 皮
渔	氵 鱼
磁	石 丷 幺 幺
铜	金 冂 
齿	齿
跨	足 大 1 丂
押	手 甲
怖	心 右 巾
漠	氵 莫
疲	疒 皮
叛	丷 手 厂 又
遣	虫 吅 辶
兹	丷 幺 幺
祭	八 示
醉	酉 亠 人 人 十
拳	夫 手
弥	弓 角 小
斜	人 禾 斗
档	木 龸 彐
稀	禾 乂 右 巾
捷	手 聿 疋
肤	月 夫
疫	疒 殳
肿	月 中
豆	豆
削	龸 月 刀
岗	山 冂 乂
晃	日 龸 兀
吞	天 口
宏	宀 右 厶
癌	疒 口 吅 山
肚	月 土
隶	聿 水
履	尸 彳 气 日 夂
涨	氵 弓 长
耀	龸 兀 羽 隹
扭	手 5 土
坛	土 云
拨	手 屮 又
沃	氵 天
绘	纟 人 云
伐	亻 戈
堪	土 其 5
仆	亻 卜
郭	高 子 耳
牺	牛 西
歼	歹 千
墓	莫 土
雇	户 隹
廉	广 丷 彐 业
契	丰 刀 大
拼	手 丷 开
惩	彳 正 心
捉	手 足
覆	西 彳 气 日 夂
刷	尸 巾 刀
劫	土 厶 力
嫌	女 丷 彐 业
瓜	瓜
歇	日 勹 亡 欠
雕	冂 吉 隹
闷	门 心
乳	爪 子 5
串	中 中
娃	女 圭
缴	纟 白 方 夂
唤	口 角 冂 大
赢	亡  贝
莲	艹 车 辶
霸	雨 革 月
桃	木 儿 冫 冫
妥	爪 女
瘦	疒 臼 2 又
搭	手 艹 合
赴	走 卜
岳	斤 1 山
嘉	壴 力 口
舱	舟 人 卩
俊	亻 厶 八 夂
址	土 止
庞	广 龙
耕	二 木 井
锐	金  儿
缝	纟 夂 丰 辶
悔	心 气 母
邀	白 方 夂 辶
玲	王 令
惟	心 隹
斥	斤 4
宅	宀 3 七
添	氵 天 小
挖	手 穴 6
呵	口 可
讼	言 八 厶
氧	气 羊
浩	氵 牛 口
羽	羽
斤	斤
酷	酉 牛 口
掠	手 高 小
妖	女 天
祸	示 口 内
侍	亻 寺
乙	6
妨	女 方
贪	令 5 贝
挣	手 角 聿
汪	氵 王
尿	尸 水
莉	艹 禾 刀
悬	且 厶 心
唇	辰 口
翰	十 日 十 人 羽
仓	人 卩
轨	车 九
枚	木 夂
盐	土 卜 皿
览	刀 竹 见
傅	亻 甫 寸
帅	刀 巾
庙	广 由
芬	艹 八 刀
屏	尸 丷 开
寺	寺
胖	月 丷 手
璃	王 亠 乂 冂 内
愚	田 内 心
滴	氵 立 古
疏	疋 云 川
萧	艹 聿  八
姿	冫 欠 女
颤	亠 吅 旦 页
丑	5 土
劣	小 3 力
柯	木 可
寸	寸
扔	手 乃
盯	目 丁
辱	辰 寸
匹	匚 儿
俱	亻 且 八
辨	辛 刀 辛
饿	食 手 戈
蜂	虫 夂 丰
哦	口 手 戈
腔	月 穴 工
郁	右 月 耳
溃	氵 虫 贝
谨	言 革 二
糟	米  日
葛	艹 日 勹 亡
苗	艹 田
肠	月 5 彡
忌	己 心
溜	氵 卯 田
鸿	氵 工 鸟
爵	爪 四 艮 寸
鹏	月 月 鸟
鹰	广 亻 隹 鸟
笼	竹 龙
丘	斤 1
桂	木 圭
滋	氵 丷 幺 幺
聊	耳 卯
挡	手 龸 彐
纲	纟 冂 乂
肌	月 几
茨	艹 冫 欠
壳	 几
痕	疒 艮
碗	石 宀 夕 卩
穴	穴
膀	月 立 方
卓	卜 日 十
贤	刀 又 贝
卧	臣 卜
膜	月 莫
毅	立 豕 殳
锦	金 白 巾
欠	欠
哩	口 里
函	5 水 冂
茫	 亡
昂	日 卯 卩
薛	艹 3 吅 辛
皱	角 彐 皮
夸	大 1 丂
豫	予 象
胃	田 月
舌	舌
剥	彐 水 刀
傲	亻 丰 刀 夂
拾	手 合
窝	穴 口 内
睁	目 角 聿
携	手 隹 乃
陵	耳 土 八 夂
哼	口 高 了
棉	木 白 巾
晴	日 丰 月
铃	金 令
填	土 直 八
饲	食 5 
渴	氵 日 勹 亡
吻	口 勹 彡
扮	手 八 刀
逆	丷 屮 辶
脆	月 角 厂 卩
喘	口 山 而
罩	四 卜 日 十
卜	卜
炉	火 户
柴	止 匕 木
愉	心 合 月 刀
绳	纟 口 电
胎	月 厶 口
蓄	艹 亠 幺 田
眠	目 民
竭	立 日 勹 亡
喂	口 田 1 衣
傻	亻  乂 八 夂
慕	莫 小
浑	氵 冖 车
奸	女 干
扇	户 羽
柜	木 匚 匚
悦	心  儿
拦	手 丷 三
诞	言 3 止 廴
饱	食 勹 巳
乾	十 日 十 气 6
泡	氵 勹 巳
贼	贝 戈 右
亭	高 丁
夕	夕
爹	八 乂 夕 夕
酬	酉 龸 川
儒	亻 雨 而
姻	女 囗 大
卵	卵
氛	气 八 刀
泄	氵 廿 5
杆	木 干
挨	手 厶 矢
僧	亻  日
蜜	宀 心 3 虫
吟	口 令 5
猩	犬 日 生
遂	丷 豕 辶
狭	犬 夫 丷
肖	龸 月
甜	舌 甘
霞	雨 尸 二 匚 又
驳	马 乂 乂
裕	衣 谷
顽	二 儿 页
於	方 人 冫
摘	手 立 古
矮	矢 禾 女
秒	禾 小 3
卿	卯 3 艮 卩
畜	亠 幺 田
咽	口 囗 大
披	手 皮
辅	车 甫
勾	勹 厶
盆	八 刀 皿
疆	弓 土 1 田 1 田 1
赌	贝 者
塑	丷 屮 月 土
畏	田 1 衣
吵	口 小 3
囊	 吅 井 衣
嗯	口 囗 大 心
泊	氵 白
肺	月  2
骤	马 耳 又 水
缠	纟 广 里
冈	冂 乂
羞	羊 5 土
瞪	目 八 豆
吊	口 巾
贾	西 贝
漏	氵 尸 雨
斑	王 文 王
涛	氵 丰 寸
悠	亻 夂 心
鹿	鹿
俘	亻 爪 子
锡	金 日 勹 彡
卑	 十
葬	艹 歹 匕 艹
铭	金 夕 口
滩	氵 又 隹
嫁	女 宀 豕
催	亻 山 隹
璇	王 方 气 疋
翅	十 又 羽
盒	合 皿
蛮	亦 虫
矣	厶 矢
潘	氵 采 田
歧	止 十 又
赐	贝 日 勹 彡
鲍	鱼 勹 巳
锅	金 口 内
廊	广 4 艮 耳
拆	手 斤 4
灌	氵 艹 吅 隹
勉	象 儿 力
盲	亡 目
宰	宀 辛
佐	亻 右 工
啥	口 人 舌
胀	月 长
扯	手 止
禧	示 壴 口
辽	了 辶
抹	手 末
筒	竹 冂 
棋	木 其
裤	衣 广 车
唉	口 厶 矢
朴	木 卜
咐	口 亻 寸
孕	乃 子
誓	手 斤 言
喉	口 亻 匚 矢
妄	亡 女
拘	手 句
链	金 车 辶
驰	马 也
栏	木 丷 三
逝	手 斤 辶
窃	穴 七 刀
艳	丰 角 巴
臭	自 犬
纤	纟 千
玑	王 几
棵	木 田 木
趁	走 人 彡
匠	匚 斤
盈	乃 又 皿
翁	八 厶 羽
愁	禾 火 心
瞬	目  夕 㐄
婴	贝 贝 女
孝	者 子
颈	又 工 页
倘	亻 龸 口
浙	氵 手 斤
谅	言 高 小
蔽	艹 㡀 夂
畅	申 5 彡
赠	贝  日
妮	女 尸 匕
莎	 小 3
尉	尸 示 寸
冻	冫 七 小
跪	足 角 厂 卩
闯	门 马
葡	艹 勹 甫
後	彳 幺 夂
厨	厂 豆 寸
鸭	甲 鸟
颠	直 八 页
遮	广 廿 火 辶
谊	言 宀 且
圳	土 川
吁	口 1 十
仑	人 匕
辟	尸 口 辛
瘤	疒 卯 田
嫂	女 臼 2 又
陀	耳 宀 匕
框	木 匚 王
谭	言 西 日 十
亨	高 了
钦	金 欠
庸	广 聿 用
歉	丷 彐 业 欠
芝	艹 之
吼	口 子 5
甫	甫
衫	衣 彡
摊	手 又 隹
宴	宀 日 女
嘱	口 尸 3 口 内
衷	衣 中
娇	女 天 
陕	耳 夫 丷
矩	矢 匚 匚
浦	氵 甫
讶	言 牙
耸	人 人 耳
裸	衣 田 木
碧	王 白 石
摧	手 山 隹
薪	艹 立 木 斤
淋	氵 林
耻	耳 止
胶	月 六 乂
屠	尸 者
鹅	手 戈 鸟
饥	食 几
盼	目 八 刀
脖	月  子
虹	虫 工
翠	羽 亠 人 人 十
崩	山 月 月
账	贝 长
萍	 干 丷
逢	夂 丰 辶
赚	贝 丷 彐 业
撑	手 龸 口 手
翔	羊 羽
倡	亻 日 日
绵	纟 白 巾
猴	犬 亻 匚 矢
枯	木 古
巫	工 人 人
昭	日 召
怔	心 正
渊	氵  米
凑	冫 丰 天
溪	氵 爪 幺 大
蠢	丰 日 虫 虫
禅	示  十
阐	门  十
旺	日 王
寓	宀 田 内
藤	艹 月 夫 水
匪	匚 非
伞	人 丷 十
碑	石  十
挪	手 5 手 耳
琼	王 高 小
脂	月 匕 日
谎	言 艹 亡 川
慨	心 艮 无
菩	艹 立 口
萄	艹 勹 缶
狮	犬 刀 1 巾
掘	手 尸 屮 冂
抄	手 小 3
岭	山 令
晕	日 冖 车
逮	聿 水 辶
砍	石 欠
掏	手 勹 缶
狄	犬 火
晰	日 木 斤
罕	冖 八 干
挽	手 象 儿
脾	月  十
舟	舟
痴	疒 矢 口
蔡	艹 八 示
剪	丷 月 刀 刀
脊	冫 冫 人 月
弓	弓
懒	心 束 角 贝
叉	又 4
拐	手 口 力
喃	口 十 冂 羊
僚	亻 大 丷 日 小
捐	手 口 月
姊	女 
骚	马 又 4 虫
拓	手 石
歪	不 正
粘	米 占
柄	木 1 内
坑	土 亠 几
陌	耳 百
窄	穴 乍
湘	氵 木 目
兆	儿 冫 冫
崖	山 厂 圭
骄	马 天 
刹	乂 木 刀
鞭	革 亻 更
芒	艹 亡
筋	竹 月 力
聘	耳 由 丂
钩	金 勹 厶
棍	木 日 比
嚷	口 衣 吅 井
腺	月 白 水
弦	弓 亠 幺
焰	火 角 臼
耍	而 女
俯	亻 广 亻 寸
厘	厂 里
愣	心 四 方
厦	厂 页 夂
恳	艮 心
饶	食 戈 兀
钉	金 丁
寡	宀 页 八 刀
憾	心 戊  心
摔	手 亠 幺 冫 冫 十
叠	又 双 冖 且
惹	艹 右 心
喻	口 合 月 刀
谱	言 丷 业 日
愧	心  厶
煌	火 白 王
徽	彳 纟
溶	氵 宀 谷
坠	耳 人 土
煞	角 彐 夂 火
巾	巾
滥	氵 刀 竹 皿
洒	氵 西
堵	土 者
瓷	冫 欠 瓦
咒	吅 几
姨	女 大 弓
棒	木 丰 手
郡	彐 3 口 耳
浴	氵 谷
媚	女 尸 目
稣	鱼 禾
淮	氵 隹
哎	口 艹 乂
屁	尸 比
漆	氵 木 人 水
淫	氵 爪 王
巢	川 田 木
吩	口 八 刀
撰	手 巳 巳 廿 八
啸	口 聿  八
滞	氵  巾
玫	王 夂
硕	石 页
钓	金 勹 4
蝶	虫 廿 5 木
膝	月 木 人 水
姚	女 儿 冫 冫
茂	艹 戊
躯	身 匚 乂
吏	 乂
猿	犬 土 口 衣
寨	宀 井 八 木
恕	女 口 心
渠	氵 匚 匚 木
戚	戊 上 小
辰	辰
舶	舟 白
颁	八 刀 页
惶	心 白 王
狐	犬 瓜
讽	言 几 乂
笨	竹 木 1
袍	衣 勹 巳
嘲	口 十 日 十 月
啡	口 非
泼	氵 屮 又
衔	行 金
倦	亻 夫 卩
涵	氵 5 水 冂
雀	小 隹
旬	勹 日
僵	亻 1 田 1 田 1
撕	手 其 斤
肢	月 十 又
垄	龙 土
夷	大 弓
逸	象 儿 4 辶
茅	艹 矛
侨	亻 天 
舆	臼 车 八
窑	穴 缶
涅	氵 里
蒲	 甫
谦	言 丷 彐 业
杭	木 亠 几
噢	口  米 大
弊	㡀 夂 艹
勋	口 贝 力
刮	舌 刀
郊	六 乂 耳
凄	冫 聿 女
捧	手 丰 手
浸	氵 彐 冖 又
砖	石 二 5 4
鼎	目 片 片
篮	竹 刀 竹 皿
蒸	艹 5 水 1 火
饼	食 丷 开
亩	亠 田
肾	刀 又 月
陡	耳 走
爪	爪
兔	象 儿 4
殷	厂 彐 5 殳
贞	卜 贝
荐	艹 右 子
哑	口 1 业
炭	山 右 火
坟	土 文
眨	目 3 之
搏	手 甫 寸
咳	口 亥
拢	手 龙
舅	臼 田 力
昧	日 未
擅	手 亠 吅 旦
爽	大 乂 乂 乂 乂
咖	口 力 口
搁	手 门 各
禄	示 彐 水
雌	止 匕 隹
哨	口 龸 月
巩	工 几 4
绢	纟 口 月
螺	虫 田 纟
裹	衣 田 木
昔	廿 日
轩	车 干
谬	言 羽 人 彡
谍	言 廿 5 木
龟	角 电
媳	女 自 心
姜	羊 女
瞎	目 宀 丰 口
冤	冖 象 儿 4
鸦	牙 鸟
蓬	艹 夂 丰 辶
巷	廿 八 巳
琳	王 林
栽	十 戈 木
沾	氵 占
诈	言 乍
斋	文 而
瞒	目 艹 1 内 人
彪	虍 几 彡
厄	厂 卩
咨	冫 欠 口
纺	纟 方
罐	缶 艹 吅 隹
桶	木 厶 用
壤	土 衣 吅 井
糕	米 羊 火
颂	八 厶 页
膨	月 壴 彡
谐	言 比 白
垒	厶 厶 厶 土
咕	口 古
隙	耳 小 日 小
辣	辛 束
绑	纟 丰 耳
宠	宀 龙
嘿	口 黑
兑	 儿
霉	雨 气 母
挫	手 人 人 土
稽	禾 尤 匕 日
辐	车  田
乞	气 6
纱	纟 小 3
裙	衣 彐 3 口
嘻	口 壴 口
哇	口 圭
绣	纟 禾 乃
杖	木 1 乂
塘	土 广 聿 口
衍	行 氵
轴	车 由
攀	林 乂 乂 大 手
膊	月 甫 寸
譬	尸 口 辛 言
斌	文 1 弋 止
祈	示 斤
踢	足 日 勹 彡
肆	长 聿
坎	土 欠
轿	车 天 
棚	木 月 月
泣	氵 立
屡	尸 米 女
躁	足 口 吅 木
邱	斤 1 耳
凰	几 白 王
溢	氵 丷 八 皿
椎	木 隹
砸	石 匚 巾
趟	走 龸 口
帘	穴 巾
帆	巾 几 4
栖	木 西
窜	穴 中 中
丸	九 4
斩	车 斤
堤	土 日 疋
塌	土 日 羽
贩	贝 厂 又
厢	厂 木 目
掀	手 斤 欠
喀	口 宀 各
乖	千 片 匕
谜	言 米 辶
捏	手 里
阎	门 角 臼
滨	氵 宀 斤 八
虏	虍 力
匙	日 疋 匕
芦	艹 户
苹	艹 干 丷
卸	缶 卩
沼	氵 召
钥	金 月
株	木 3 未
祷	示 丰 寸
剖	立 口 刀
熙	臣 巳 火
哗	口 亻 匕 十
劈	尸 口 辛 刀
怯	心 土 厶
棠	龸 口 木
胳	月 各
桩	木 广 土
瑰	王  厶
娱	女 口 天
娶	耳 又 女
沫	氵 末
嗓	口 又 双 木
蹲	足 酋 寸
焚	林 火
淘	氵 勹 缶
嫩	女 束 夂
韵	音 勹 冫
衬	衣 寸
匈	勹 乂 冂
钧	金 勹 冫
竖	刀 又 立
峻	山 厶 八 夂
豹	豸 勹 4
捞	手  力
菊	艹 勹 米
鄙	口 十 吅 耳
魄	白  厶
兜	白 卯 匚 儿
哄	口 廿 八
颖	匕 禾 页
镑	金 立 方
屑	尸 龸 月
蚁	虫 4 乂
壶	 业
怡	心 厶 口
渗	氵 厶 大 彡
秃	禾 几
迦	力 口 辶
旱	日 干
哟	口 纟 勹 4
咸	戊 
焉	正 1 5 火
谴	言 虫 吅 辶
宛	宀 夕 卩
稻	禾 爪 臼
铸	金 丰 寸
锻	金 手 殳
伽	亻 力 口
詹	角 厂 八 言
毙	比 歹 匕
恍	心 龸 兀
贬	贝 3 之
烛	火 虫
骇	马 亥
芯	艹 心
汁	氵 十
桓	木 1 旦
坊	土 方
驴	马 户
朽	木 丂
靖	立 丰 月
佣	亻 用
汝	氵 女
碌	石 彐 水
迄	气 6 辶
冀	片 匕 田 廿 八
荆	艹 开 刀
崔	山 隹
雁	厂 亻 隹
绅	纟 申
珊	王 册
榜	木 立 方
诵	言 厶 用
傍	亻 立 方
彦	立 厂 彡
醇	酉 高 子
笛	竹 由
禽	人 亠 乂 冂 内
勿	勹 彡
娟	女 口 月
瞄	目 艹 田
幢	巾 立 里
寇	宀 二 儿 歹
睹	目 者
贿	贝 右 月
踩	足 采
霆	雨 王 廴
呜	口 乌
拱	手 廿 八
妃	女 己
蔑	艹 四 戊 4
谕	言 合 月 刀
缚	纟 甫 寸
诡	言 角 厂 卩
篷	竹 夂 丰 辶
淹	氵 大 电
腕	月 宀 夕 卩
煮	者 火
倩	亻 丰 月
卒	亠 人 人 十
勘	其 5 力
馨	士 尸 殳 禾 日
逗	豆 辶
甸	勹 田
贱	贝 1 戈
炒	火 小 3
灿	火 山
敞	龸 口 夂
蜡	虫 廿 日
囚	囗 人
栗	西 木
辜	古 辛
垫	手 九 4 土
妒	女 户
魁	 厶 斗
谣	言 爪 缶
寞	宀 莫
蜀	四 勹 虫
甩	用 5
涯	氵 厂 圭
枕	木 冖 儿
丐	1 卜 5
泳	氵 4 水
奎	大 圭
泌	氵 心 3
逾	合 月 刀 辶
叮	口 丁
黛	亻 弋 黑
燥	火 口 吅 木
掷	手 丷 天 耳
藉	艹 二 木 廿 日
枢	木 匚 乂
憎	心  日
鲸	鱼 高 小
弘	弓 厶
倚	亻 大 可
侮	亻 气 母
藩	 采 田
拂	手 弓 
鹤	冖 隹 鸟
蚀	食 虫
浆	片 夕 水
芙	艹 夫
垃	土 立
烤	火 者 丂
晒	日 西
霜	雨 木 目
剿	川 田 木 刀
蕴	艹 纟 日 皿
圾	土 及
绸	纟 冂 吉
屿	山 1 5 1
氢	气 又 工
驼	马 宀 匕
妆	片 女
捆	手 囗 木
铅	金 几 口
逛	犬 王 辶
淑	氵 上 小 又
榴	木 卯 田
丙	1 内
痒	疒 羊
钞	金 小 3
蹄	足 立 巾
犬	犬
躬	身 弓
昼	尸 4 旦
藻	 口 吅 木
蛛	虫 3 未
褐	衣 日 勹 亡
颊	夫 丷 页
奠	酋 大
募	莫 力
耽	耳 冖 儿
蹈	足 爪 臼
陋	耳  亡
侣	亻 口 口
魅	 厶 未
岚	山 几 乂
侄	亻 至
虐	虍 彐
堕	耳 右 月 土
陛	耳 比 土
莹	 玉
荫	艹 耳 月
狡	犬 六 乂
阀	门 亻 戈
绞	纟 六 乂
膏	高 月
垮	土 大 1 丂
茎	艹 又 工
缅	纟 面
喇	口 束 刀
绒	纟 戈 右
搅	手 龸 见
凳	八 豆 几
梭	木 厶 八 夂
丫	丷 2
姬	女 臣
诏	言 召
钮	金 5 土
棺	木 宀 吅
耿	耳 火
缔	纟 立 巾
懈	心 角 刀 牛
嫉	女 疒 矢
灶	火 土
匀	勹 冫
嗣	口 册 5 
鸽	合 鸟
澡	氵 口 吅 木
凿	业 羊 冂
纬	纟 韦
沸	氵 弓 
畴	田 丰 寸
刃	刀 4
遏	日 勹 亡 辶
烁	火 卯 小
嗅	口 自 犬
叭	口 八
熬	丰 刀 夂 火
瞥	㡀 夂 目
骸	骨 亥
奢	大 者
拙	手 屮 冂
栋	木 七 小
毯	毛 火 火
桐	木 冂 
砂	石 小 3
莽	艹 犬 艹
泻	氵 冖 1 5 1
坪	土 干 丷
梳	木 云 川
杉	木 彡
晤	日 五 口
稚	禾 隹
蔬	艹 疋 云 川
蝇	虫 口 电
捣	手 鸟 山
顷	匕 页
麽	广 林 3 厶
尴	尤 刀 竹 皿
镖	金 西 示
诧	言 宀 3 七
尬	尤 人 
硫	石 云 川
嚼	口 爪 四 艮 寸
羡	羊 冫 欠
沦	氵 人 匕
沪	氵 户
旷	日 广
彬	林 彡
芽	艹 牙
狸	犬 里
冥	冖 日 六
碳	石 山 右 火
咧	口 歹 刀
惕	心 日 勹 彡
暑	日 者
咯	口 各
萝	艹 四 夕
汹	氵 乂 冂
腥	月 日 生
窥	穴 夫 见
俺	亻 大 电
潭	氵 西 日 十
崎	山 大 可
麟	鹿 米 夕 㐄
捡	手 合 龸
拯	手 5 水 1
厥	厂 丷 屮 欠
澄	氵 八 豆
萎	艹 禾 女
哉	十 戈 口
涡	氵 口 内
滔	氵 爪 臼
暇	日 尸 二 匚 又
溯	氵 丷 屮 月
鳞	鱼 米 夕 㐄
酿	酉 4 艮
茵	艹 囗 大
愕	心 吅 1 丂
瞅	目 禾 火
暮	莫 日
衙	行 五 口
诫	言 戈 艹
斧	八 乂 斤
兮	八 丂
焕	火 角 冂 大
棕	木 宀 示
佑	亻 右
嘶	口 其 斤
妓	女 十 又
喧	口 宀 1 旦
蓉	艹 宀 谷
删	册 刀
樱	木 贝 贝 女
伺	亻 5 
嗡	口 八 厶 羽
娥	女 手 戈
梢	木 龸 月
坝	土 贝
蚕	天 虫
敷	甫 方 夂
澜	氵 门 束 丷
杏	木 口
绥	纟 爪 女
冶	冫 厶 口
庇	广 比
挠	手 戈 兀
搂	手 米 女
倏	亻 夂 犬
聂	耳 双
婉	女 宀 夕 卩
噪	口 口 吅 木
稼	禾 宀 豕
鳍	鱼 者 匕 日
菱	艹 土 八 夂
盏	1 戈 皿
匿	匚 艹 右
吱	口 十 又
寝	宀 片 彐 冖 又
揽	手 刀 竹 见
髓	骨 右 工 月 辶
秉	禾 彐
哺	口 甫
矢	矢
啪	口 手 白
帜	巾 口 八
邵	召 耳
嗽	口 束 欠
挟	手 夫 丷
缸	缶 工
揉	手 矛 木
腻	月 弋 二 贝
驯	马 川
缆	纟 刀 竹 见
晌	日  口
瘫	疒 又 隹
贮	贝 宀 1
觅	爪 见
朦	月  1 豕
僻	亻 尸 口 辛
隋	耳 右 工 月
蔓	艹 曼
咋	口 乍
嵌	山 甘 欠
虔	虍 文
畔	田 丷 手
琐	王 龸 贝
碟	石 廿 5 木
涩	氵 刀 4 止
胧	月 龙
嘟	口 者 耳
蹦	足 山 月 月
冢	冖 豕 4
浏	氵 文 刀
裔	衣 冂 八 口
襟	衣 林 示
叨	口 刀
诀	言 匚 人
旭	九 日
虾	虫 1 卜
簿	竹 氵 甫 寸
啤	口  十
擒	手 人 亠 乂 冂 内
枣	朿 冫
嘎	口 页 戈
苑	艹 夕 卩
牟	厶 牛
呕	口 匚 乂
骆	马 各
凸	乃 1
熄	火 自 心
兀	兀
喔	口 尸 至
裳	龸 口 衣
凹	冂 1
赎	贝 十 5 冫 大
屯	1 屮
膛	月 龸 口 土
浇	氵 戈 兀
灼	火 勹 4
裘	求 衣
砰	石 干 丷
棘	朿 朿
橡	木 象
碱	石 戊 
聋	龙 耳
姥	女 者 匕
瑜	王 合 月 刀
毋	毋
娅	女 1 业
沮	氵 且
萌	艹 日 月
俏	亻 龸 月
黯	黑 音
撇	手 㡀 夂
粟	西 米
粪	米 廿 八
尹	彐 3
苟	艹 句
癫	疒 直 八 页
蚂	虫 马
禹	3 口 内
廖	广 羽 人 彡
俭	亻 合 龸
帖	巾 占
煎	丷 月 刀 火
缕	纟 米 女
窦	穴 十 5 冫 大
簇	竹 方 气 矢
棱	木 土 八 夂
叩	口 卩
呐	口 内
瑶	王 爪 缶
墅	里 予 土
莺	 鸟
烫	氵 5 彡 火
蛙	虫 圭
歹	歹
伶	亻 令
葱	艹 勹 彡 4 心
哮	口 者 子
眩	目 亠 幺
坤	土 申
廓	广 高 子 耳
讳	言 韦
啼	口 立 巾
乍	乍
瓣	辛 瓜 辛
矫	矢 天 
跋	足 右 又
枉	木 王
梗	木 更
厕	厂 贝 刀
琢	王 豕 4
讥	言 几
釉	采 由
窟	穴 尸 屮 冂
敛	合 龸 夂
轼	车 弋 工
庐	广 户
胚	月 不 1
呻	口 申
绰	纟 卜 日 十
扼	手 厂 卩
懿	 豆 冫 欠 心
炯	火 冂 口
竿	竹 干
慷	心 广 聿 水
虞	虍 口 天
锤	金 千 艹 二
栓	木 人 王
桨	片 夕 木
蚊	虫 文
磅	石 立 方
孽	艹 3 吅 辛 子
惭	心 车 斤
戳	羽 隹 戈
禀	亠 吅 示
鄂	吅 1 丂 耳
馈	食 虫 贝
垣	土 1 旦
溅	氵 贝 1 戈
咚	口 夂 冫
钙	金 1 卜 5
礁	石 隹 火
彰	音 十 彡
豁	宀 丰 口 谷
眯	目 米
磷	石 米 夕 㐄
雯	雨 文
墟	土 虍 业
迂	1 十 辶
瞻	目 角 厂 八 言
颅	卜 尸 页
琉	王 云 川
悼	心 卜 日 十
蝴	虫 古 月
拣	手 七 小
渺	氵 目 小 3
眷	夫 目
悯	心 门 文
汰	氵 大 4
慑	心 耳 双
婶	女 宀 申
斐	非 文
嘘	口 虍 业
镶	金 衣 吅 井
炕	火 亠 几
宦	宀 臣
趴	足 八
绷	纟 月 月
窘	穴 彐 3 口
襄	衣 吅 井
珀	王 白
嚣	吅 页 吅
拚	手 厶 艹
酌	酉 勹 4
浊	氵 虫
毓	气 母 云 川
撼	手 戊  心
嗜	口 者 匕 日
扛	手 工
峭	山 龸 月
磕	石 土 厶 皿
翘	戈 兀 羽
槽	木  日
淌	氵 龸 口
栅	木 册
颓	禾 几 页
熏	千 黑
瑛	王 艹 冂 大
颐	臣 页
忖	心 寸
牡	牛 土
缀	纟 双 双
徊	彳 吅
梨	禾 刀 木
肪	月 方
涕	氵 丷 
惫	夂 田 心
摹	莫 手
踱	足 广 廿 又
肘	月 寸
熔	火 宀 谷
挚	手 九 4 手
氯	气 彐 水
凛	冫 亠 吅 示
绎	纟 又 手
庶	广 廿 火
脯	月 甫
迭	3 夫 辶
睦	目 土 八 土
窍	穴 工 丂
粥	弓 米 弓
庵	广 大 电
沧	氵 人 卩
怠	厶 口 心
沁	氵 心
奕	亦 大
咙	口 龙
氨	气 宀 女
矗	直 直 直
盔	右 火 皿
拇	手 母
沛	氵  2
榻	木 日 羽
揣	手 山 而
