# 奕码优化版 字根编码表 (小码=官方音托不变, 大码=优化指派)
# 格式: 字根	编码(大+小)	拼音	音托依据	变体(形近归并)
牛	un	niu	声母托	 牜
辛	ux	xin	声母托	
六	ul	liu	声母托	
勹	ub	bao	声母托	
圭	ug	gui	声母托	
毌	ug	guan	声母托	
责	ue	ze	韵母托	
㐄	uy	kua	形托/约定	
曼	vm	man	声母托	
厂	vc	chang	声母托	
百	vb	bai	声母托	
各	vg	ge	声母托	
士	vs	shi	声母托	
皿	vm	min	声母托	
王	vw	wang	声母托	 壬 ⺩
月	vy	yue	声母托	   冃 
几	vj	ji	声母托	
5	we	5	形托/约定	
食	ws	shi	声母托	饣 飠
禾	wh	he	声母托	 
门	wm	men	声母托	門
丂	wk	kao	声母托	
牙	wy	ya	声母托	㸦
黑	wh	hei	声母托	黒
止	wi	zhi	韵母托	 
七	wq	qi	声母托	 
旦	wd	dan	声母托	
生	ws	sheng	声母托	
臼	xj	jiu	声母托	
卯	xm	mao	声母托	  
亠	xt	tou	声母托	
广	xg	guang	声母托	
古	xg	gu	声母托	
火	xh	huo	声母托	灬
矢	xs	shi	声母托	
乃	xn	nai	声母托	
之	xi	zhi	韵母托	
欠	xq	qian	声母托	
乍	ya	zha	韵母托	
气	yq	qi	声母托	
纟	ys	si	声母托	糸  糹
右	yy	you	声母托	  
彡	ys	shan	声母托	 
其	yq	qi	声母托	
爪	yu	zhao	形托/约定	爫
甲	yj	jia	声母托	
乌	yu	wu	韵母托	
艮	yg	gen	声母托	
4	zd	4	形托/约定	
6	zi	6	形托/约定	
亦	zi	yi	韵母托	
井	zj	jing	声母托	
二	ze	er	声母托	
水	zs	shui	声母托	氺   乑 
囗	zk	wei	形托/约定	
小	zx	xiao	声母托	   
卜	zb	bo	声母托	
竹	zu	zhu	韵母托	 
巾	zj	jin	声母托	
虍	zh	hu	声母托	
瓦	zw	wa	声母托	
