# 奕码优化版 字根编码表 (小码=官方音托不变, 大码=优化指派)
# 格式: 字根	编码(大+小)	拼音	音托依据	变体(形近归并)
天	ut	tian	声母托	夭
	uc		部件(形托)	
	vc		部件(形托)	 
豕	vs	shi	声母托	
乡	vx	xiang	声母托	
末	vm	mo	声母托	
士	vs	shi	声母托	
不	vb	bu	声母托	
七	vq	qi	声母托	 
王	vw	wang	声母托	 壬 ⺩
月	vy	yue	声母托	   冃 
九	vj	jiu	声母托	
5	we	5	形托/约定	
6	wi	6	形托/约定	
禾	wh	he	声母托	 
厂	wc	chang	声母托	
二	we	er	声母托	
鼠	ws	shu	声母托	  鼡
百	wb	bai	声母托	
申	ws	shen	声母托	
鱼	wv	yu	ü→v韵托	魚
聿	wv	yu	ü→v韵托	肀     
里	wl	li	声母托	圼
瓦	ww	wa	声母托	
	xa		部件(形托)	
寺	xs	si	声母托	
臣	xc	chen	声母托	 
丂	xk	kao	声母托	
幺	xy	yao	声母托	
疒	xb	ne	形托/约定	
也	xy	ye	声母托	
身	xs	shen	声母托	
广	xg	guang	声母托	
古	xg	gu	声母托	
火	xh	huo	声母托	灬
之	xi	zhi	韵母托	
欠	xq	qian	声母托	
	yy		部件(形托)	
及	yj	ji	声母托	
方	yf	fang	声母托	
臼	yj	jiu	声母托	
衣	yi	yi	韵母托	    衤
纟	ys	si	声母托	糸  糹
亡	yw	wang	声母托	亾 兦 吂
辛	yx	xin	声母托	
无	yu	wu	韵母托	無 旡 兂
乃	yn	nai	声母托	
召	ya	zhao	韵母托	
4	zd	4	形托/约定	
足	zu	zu	韵母托	
雨	zv	yu	ü→v韵托	
丁	zd	ding	声母托	
戊	zu	wu	韵母托	 戉
囗	zk	wei	形托/约定	
干	zg	gan	声母托	
巾	zj	jin	声母托	
辰	zc	chen	声母托	
生	zs	sheng	声母托	
羽	zv	yu	ü→v韵托	
业	zy	ye	声母托	    
