一	1
乙	5
二	11
十	12
丁	12
厂	13
七	15
卜	24
八	34
人	34
入	34
儿	35
匕	35
几	35
九	35
刁	51
了	52
刀	53
力	53
乃	53
又	54
三	111
干	112
于	112
亏	115
工	121
土	121
士	121
才	123
下	124
寸	124
大	134
丈	134
与	151
万	153
上	211
小	234
口	251
山	252
巾	252
千	312
乞	315
川	322
亿	325
个	342
夕	354
久	354
么	354
勺	354
凡	354
丸	354
及	354
广	413
亡	415
门	425
丫	432
义	434
之	454
尸	513
己	515
已	515
巳	515
弓	515
子	521
卫	521
也	525
女	531
刃	534
飞	534
习	541
叉	544
马	551
乡	553
丰	1112
王	1121
开	1132
井	1132
天	1134
夫	1134
元	1135
无	1135
云	1154
专	1154
丐	1215
扎	1215
艺	1225
木	1234
五	1251
支	1254
厅	1312
不	1324
犬	1344
太	1344
区	1345
历	1353
歹	1354
友	1354
尤	1354
匹	1355
车	1512
巨	1515
牙	1523
屯	1525
戈	1534
比	1535
互	1551
切	1553
瓦	1554
止	2121
少	2343
曰	2511
日	2511
中	2512
贝	2534
冈	2534
内	2534
水	2534
见	2535
午	3112
牛	3112
手	3112
气	3115
毛	3115
壬	3121
升	3132
夭	3134
长	3154
仁	3211
什	3212
片	3215
仆	3224
化	3235
仇	3235
币	3252
仍	3253
仅	3254
斤	3312
爪	3324
反	3354
介	3432
父	3434
从	3434
仑	3435
今	3445
凶	3452
分	3453
乏	3454
公	3454
仓	3455
月	3511
氏	3515
勿	3533
欠	3534
风	3534
丹	3541
匀	3541
乌	3551
勾	3554
凤	3554
六	4134
文	4134
亢	4135
方	4153
火	4334
为	4354
斗	4412
忆	4425
计	4512
订	4512
户	4513
认	4534
冗	4535
讥	4535
心	4544
尺	5134
引	5152
丑	5211
巴	5215
孔	5215
队	5234
办	5344
以	5434
允	5435
予	5452
邓	5452
劝	5453
双	5454
书	5524
幻	5545
玉	11214
刊	11222
未	11234
末	11234
示	11234
击	11252
打	12112
巧	12115
正	12121
扑	12124
卉	12132
扒	12134
功	12153
扔	12153
去	12154
甘	12211
世	12215
艾	12234
古	12251
节	12252
本	12341
术	12344
可	12512
丙	12534
左	13121
厉	13153
石	13251
右	13251
布	13252
夯	13453
戊	13534
龙	13534
平	14312
灭	14334
轧	15215
东	15234
卡	21124
北	21135
占	21251
凸	21251
卢	21513
业	22431
旧	22511
帅	23252
归	23511
旦	25111
目	25111
且	25111
叶	25112
甲	25112
申	25112
叮	25112
电	25115
号	25115
田	25121
由	25121
只	25134
叭	25134
史	25134
央	25134
兄	25135
叽	25135
叼	25151
叫	25152
叩	25152
叨	25153
另	25153
叹	25154
冉	25211
皿	25221
凹	25251
囚	25341
四	25351
生	31121
矢	31134
失	31134
乍	31211
禾	31234
丘	32121
付	32124
仗	32134
代	32154
仙	32252
们	32425
