的	32511354
一	1
了	52
是	251112134
不	1324
我	3121534
在	132121
人	34
有	132511
有	133511
他	32525
这	4134454
来	1431234
个	342
你	3235234
上	211
说	454325135
到	15412122
就	412512341354
着	43111325111
着	431121325111
大	134
们	32425
道	431325111454
那	511352
么	354
也	525
地	121525
子	521
下	124
出	52252
时	2511124
看	311325111
要	125221531
她	531525
中	2512
没	4413554
然	354413444444
然	354113444444
里	2511211
自	325111
好	531521
为	4354
过	124454
得	33225111124
去	12154
可	12512
天	1134
会	341154
还	1324454
心	4544
以	5434
后	331251
小	234
都	1213251152
和	31234251
对	54124
想	1234251114544
能	5425113535
能	5425111515
能	5435411515
起	1212134515
之	454
而	132522
手	3112
只	25134
生	31121
什	3212
身	3251113
头	44134
事	12515112
样	1234431112
多	354354
家	4451353334
己	515
面	132522111
知	31134251
如	531251
开	1132
无	1135
现	11212535
很	332511534
前	431251122
前	431351122
点	212514444
发	53544
经	55154121
情	44211212511
情	44211213511
把	1215215
老	121335
老	121315
些	21213511
些	21211511
话	45312251
已	515
又	54
意	4143125114544
声	1215213
回	252511
于	112
笑	3143143134
所	33513312
成	135534
年	311212
但	3225111
方	4153
眼	25111511534
见	2535
当	243511
女	531
力	53
真	1225111134
两	1253434
气	3115
用	35112
从	3434
长	3154
动	115453
间	4252511
国	25112141
走	1212134
被	4523453254
让	45211
正	12121
给	551341251
打	12112
问	425251
明	25113511
儿	35
法	44112154
行	332112
才	123
定	44512134
三	111
几	35
此	212135
此	212115
进	1132454
再	125211
同	251251
种	312342512
将	412354124
将	4123443124
实	44544134
本	12341
高	4125125251
分	3453
最	251112211154
向	325251
十	12
第	31431451523
学	44345521
感	1312515344544
感	1312514544534
怎	312114544
神	452425112
作	3231211
听	2513312
边	53454
其	12211134
吧	2515215
口	251
却	1215452
因	251341
觉	443452535
啊	2515212512
白	32511
次	413534
次	113534
军	451512
外	35424
做	32122513134
门	425
光	243135
主	41121
风	3534
果	25111234
住	3241121
全	341121
与	151
公	3454
二	11
候	3225131134
相	123425111
吗	251551
等	314314121124
色	355215
别	2515322
部	4143125152
死	135435
死	135415
太	1344
日	2511
张	5153154
少	2343
理	11212511211
重	312511211
战	212511534
直	12251111
像	3235251353334
像	32352521353334
王	1121
比	1535
比	1515
快	4425134
水	2534
脸	35113414431
何	3212512
名	354251
呢	25151335
呢	25151315
西	125351
体	3212341
叫	25152
东	15234
应	4134431
放	41533134
便	321251134
马	551
美	431121134
难	5432411121
轻	152154121
更	1251134
位	3241431
接	12141431531
先	312135
关	431134
关	341134
文	4134
机	123435
常	24345251252
望	41535111121
望	41535443121
完	4451135
处	35424
处	35434
并	431132
四	25351
者	12132511
安	445531
飞	534
清	44111212511
清	44111213511
师	231252
师	431252
月	3511
刚	253422
山	252
跟	2512121511534
信	324111251
空	44534121
空	44535121
爱	3443451354
内	2534
龙	13534
原	1332511234
入	34
带	122245252
找	1211534
李	1234521
平	14312
吃	251315
连	1512454
思	251214544
林	12341234
场	121533
使	32125134
变	41223454
由	25121
受	34434554
亲	414311234
目	25111
命	34125152
任	323121
任	321121
男	2512153
海	4413155414
强	515251251214
路	2512121354251
加	53251
今	3445
今	3415
该	45415334
活	441312251
车	1512
性	44231121
特	3121121124
世	12215
表	11213534
解	3535112533112
解	3535121533112
立	41431
远	1135454
金	34112431
它	44535
电	25115
花	1223235
花	12123215
黑	254312114444
许	453112
红	551121
工	121
转	15211154
算	31431425111132
总	432514544
孩	521415334
城	121135534
新	4143112343312
反	3354
反	1354
物	31213533
队	5234
始	53154251
满	4411221253434
非	21112111
非	31112111
兵	3212134
离	4134522554
至	154121
似	325434
虽	251251214
云	1154
通	5425112454
万	153
干	112
失	31134
火	4334
士	121
认	4534
哥	1251212512
五	1251
乎	34312
竟	41431251135
姐	53125111
魔	41312341234325113554
魔	413123512353251213554
惊	44241251234
量	251112511211
往	33241121
剑	341443122
早	251112
结	551121251
流	4414154325
流	441154325
怕	44232511
斯	122111343312
音	414312511
利	3123422
坐	3434121
合	341251
突	445341344
突	445351344
指	121352511
指	121152511
教	12135213134
度	413122154
拉	12141431
半	43112
且	25111
紧	2254554234
影	251141251234333
杀	341234
记	45515
倒	3215412122
微	3322521353134
步	2121233
喜	121251431251
书	5524
告	3121251
越	121213415534
深	44145341234
深	44145351234
冷	4134454
冷	4134154
落	122441354251
落	1212441354251
谁	4532411121
象	35251353334
象	352521353334
容	4453434251
提	121251112134
怪	44254121
言	4111251
传	321154
钱	3111511534
每	3155414
服	35115254
随	52132511454
随	52133511454
双	5454
击	11252
武	11212154
哪	251511352
站	4143121251
管	31431444525151
数	4312345313134
房	45134153
房	33514153
奇	13412512
刻	41533422
衣	413534
化	3235
化	3215
灵	5114334
周	35121251
题	251112134132534
星	251131121
百	132511
静	11212511355112
静	11213511355112
伤	323153
拿	3412513112
代	32154
功	12153
系	3554234
必	45434
妈	531551
办	5344
般	3354143554
精	43123411212511
