warning: The `fitz` API is deprecated and will be removed in future. Use `import pymupdf` instead.
(115.2, 432.1, 'c', 4.9)
(115.2, 443.9, 'g', 4.9)
(115.2, 459.7, 'l', 4.9)
(115.2, 482.4, 'q', 4.9)
(115.2, 502.1, 's', 4.9)
(115.2, 513.9, 's', 4.9)
(115.2, 556.2, 'd', 4.9)
(115.2, 568.1, 'f', 4.9)
(116.1, 180.9, '門', 3.9)
(116.1, 211.5, '亽', 3.9)
(116.1, 227.2, '馬', 3.9)
(116.1, 277.5, '钅', 3.9)
(116.1, 428.2, '釆', 3.9)
(116.1, 494.2, '龴', 3.9)
(116.1, 544.4, '刂', 3.9)
(116.2, 48.9, '\ue03f', 3.9)
(116.2, 76.5, '\ue025', 3.9)
(116.2, 103.1, '\ue024', 3.9)
(116.2, 281.4, '\ue0cf', 3.9)
(116.2, 331.6, '\ue096', 3.9)
(116.2, 374.0, '\ue0ec', 3.9)
(116.2, 455.8, '\ue401', 3.9)
(116.2, 498.1, '\ue04d', 3.9)
(116.2, 536.5, '\ue427\ue089', 3.9)
(116.2, 548.4, '\ue044\ue001', 3.9)
(123.2, 43.0, '角', 5.9)
(123.2, 66.7, '吉', 5.9)
(123.2, 97.2, '禾', 5.9)
(123.2, 116.9, '乙', 5.9)
(123.2, 151.4, '毛', 5.9)
(123.2, 161.8, '山', 5.9)
(123.2, 175.0, '足', 5.9)
(123.2, 205.6, '内', 5.9)
(123.2, 225.3, '中', 5.9)
(123.2, 237.1, '双', 5.9)
(123.2, 259.7, '面', 5.9)
(123.2, 270.2, '气', 5.9)
(123.2, 287.3, '殳', 5.9)
(123.2, 313.9, '衣', 5.9)
(123.2, 368.1, '廿', 5.9)
(123.2, 383.9, '十', 5.9)
(123.2, 399.6, '石', 5.9)
(123.2, 422.3, '求', 5.9)
(123.2, 434.1, '上', 5.9)
(123.2, 445.9, '彡', 5.9)
(123.2, 476.5, '巳', 5.9)
(123.2, 488.3, '三', 5.9)
(123.2, 530.6, '更', 5.9)
(123.2, 542.5, '亥', 5.9)
(123.2, 554.3, '豸', 5.9)
(124.1, 60.7, 'j', 4.9)
(124.1, 76.5, 'j', 4.9)
(124.1, 111.0, 'h', 4.9)
(124.1, 122.8, 'i', 4.9)
(124.1, 157.3, 'm', 4.9)
(124.1, 169.1, 's', 4.9)
(124.1, 184.9, 'u', 4.9)
(124.1, 219.3, 'n', 4.9)
(124.1, 231.2, 'o', 4.9)
(124.1, 243.0, 's', 4.9)
(124.1, 265.6, 'm', 4.9)
(124.1, 281.4, 'q', 4.9)
(124.1, 293.2, 's', 4.9)
(124.1, 339.5, 'i', 4.9)
(124.1, 377.9, 'n', 4.9)
(124.1, 393.7, 's', 4.9)
(124.1, 405.5, 's', 4.9)
(124.1, 428.2, 'q', 4.9)
(124.1, 440.0, 's', 4.9)
(124.1, 455.8, 's', 4.9)
(124.1, 482.4, 's', 4.9)
(124.1, 494.2, 's', 4.9)
(124.1, 536.5, 'g', 4.9)
(124.1, 548.4, 'h', 4.9)
(124.1, 560.2, 'i', 4.9)
(125.0, 48.9, '\ue020\ue0bc\ue423', 3.9)
(125.0, 72.6, '\ue832', 3.9)
(125.0, 103.1, '\ue44b\ue40e', 3.9)
(125.0, 180.9, '\ue0c6', 3.9)
(125.0, 211.5, '\ue005', 3.9)
(125.0, 215.4, '禸', 3.9)
(125.0, 277.5, '\ue078', 3.9)
(125.0, 319.8, '\ue422\ue07e\ue0b7\ue80a', 3.9)
(125.0, 335.6, '衤', 3.9)
(125.0, 374.0, '龷', 3.9)
(125.0, 389.8, '\ue413', 3.9)
(125.0, 451.8, '\ue41e', 3.9)
(132.1, 70.6, '曼', 5.9)
(132.1, 97.2, '井', 5.9)
(132.1, 113.0, '食', 5.9)
(132.1, 151.4, '用', 5.9)
(132.1, 205.6, '豕', 5.9)
(132.1, 221.3, '隹', 5.9)
(132.1, 233.1, '雨', 5.9)
(132.1, 259.7, '云', 5.9)
(132.1, 275.5, '页', 5.9)
(132.1, 313.9, '臼', 5.9)
(132.1, 329.7, '卵', 5.9)
(132.1, 368.1, '西', 5.9)
(132.1, 387.8, '右', 5.9)
(132.1, 422.3, '水', 5.9)
(132.1, 476.5, '彐', 5.9)
(132.1, 504.0, '廴', 5.9)
(132.1, 530.6, '末', 5.9)
(132.1, 541.1, '犬', 5.9)
(132.1, 558.2, '束', 5.9)
(132.2, 43.0, '\ue04a', 5.9)
(132.2, 58.8, '\ue820', 5.9)
(133.0, 52.9, 'k', 4.9)
(133.0, 64.7, 'l', 4.9)
(133.0, 76.5, 'm', 4.9)
(133.0, 107.0, 'j', 4.9)
(133.0, 126.7, 's', 4.9)
(133.0, 161.2, 'y', 4.9)
(133.0, 215.4, 's', 4.9)
(133.0, 227.2, 'u', 4.9)
(133.0, 243.0, 'v', 4.9)
(133.0, 269.6, 'y', 4.9)
(133.0, 297.2, 'y', 4.9)
(133.0, 323.8, 'j', 4.9)
(133.0, 335.6, 'l', 4.9)
(133.0, 381.9, 'x', 4.9)
(133.0, 405.5, 'y', 4.9)
(133.0, 447.9, 's', 4.9)
(133.0, 498.1, 'w', 4.9)
(133.0, 510.0, 'y', 4.9)
(133.0, 536.5, 'm', 4.9)
(133.0, 552.3, 'q', 4.9)
(133.0, 564.1, 's', 4.9)
(133.8, 118.9, '饣', 3.9)
(133.8, 122.8, '飠', 3.9)
(133.8, 281.4, '頁', 3.9)
(133.8, 374.0, '覀襾', 3.9)
(133.8, 428.2, '氺', 3.9)
(133.8, 440.0, '乑', 3.9)
(133.8, 494.2, '彑', 3.9)
(133.8, 548.4, '犭', 3.9)
(133.9, 48.9, '\ue036', 3.9)
(133.9, 103.1, '\ue415', 3.9)
(133.9, 157.3, '\ue08c', 3.9)
(133.9, 211.5, '\ue420', 3.9)
(133.9, 239.0, '\ue0d0', 3.9)
(133.9, 265.6, '\ue00a', 3.9)
(133.9, 285.3, '\ue033\ue03d\ue105', 3.9)
(133.9, 319.8, '\ue421', 3.9)
(133.9, 393.7, '\ue068\ue02e\ue0fc', 3.9)
